Method,Train_Task,Round,Eval_Task,Accuracy
gdr,0,1,0,25.0
gdr,0,2,0,33.375
gdr,0,3,0,30.475
gdr,0,4,0,42.425
gdr,0,5,0,39.15
gdr,0,6,0,58.975
gdr,0,7,0,50.675
gdr,0,8,0,59.525
gdr,0,9,0,52.075
gdr,0,10,0,63.65
gdr,0,11,0,56.075
gdr,0,12,0,67.6
gdr,0,13,0,60.85
gdr,0,14,0,68.475
gdr,0,15,0,62.275
gdr,0,16,0,68.025
gdr,0,17,0,65.275
gdr,0,18,0,72.75
gdr,0,19,0,69.15
gdr,0,20,0,72.575
gdr,0,21,0,72.5
gdr,0,22,0,74.9
gdr,0,23,0,73.05
gdr,0,24,0,75.475
gdr,0,25,0,74.875
gdr,0,26,0,76.95
gdr,0,27,0,76.1
gdr,0,28,0,76.475
gdr,0,29,0,76.575
gdr,0,30,0,76.875
gdr,0,31,0,77.925
gdr,0,32,0,77.2
gdr,0,33,0,78.125
gdr,0,34,0,78.45
gdr,0,35,0,78.425
gdr,0,36,0,78.125
gdr,0,37,0,78.475
gdr,0,38,0,78.525
gdr,0,39,0,78.975
gdr,0,40,0,78.75
gdr,0,41,0,79.1
gdr,0,42,0,79.075
gdr,0,43,0,79.075
gdr,0,44,0,79.225
gdr,0,45,0,78.9
gdr,0,46,0,79.2
gdr,0,47,0,79.3
gdr,0,48,0,79.3
gdr,0,49,0,79.325
gdr,0,50,0,78.9
gdr,1,1,0,2.3
gdr,1,1,1,36.56666666666667
gdr,1,2,0,16.8
gdr,1,2,1,64.86666666666666
gdr,1,3,0,12.9
gdr,1,3,1,48.233333333333334
gdr,1,4,0,7.0
gdr,1,4,1,72.0
gdr,1,5,0,11.15
gdr,1,5,1,63.93333333333333
gdr,1,6,0,14.575
gdr,1,6,1,74.06666666666666
gdr,1,7,0,11.0
gdr,1,7,1,69.36666666666666
gdr,1,8,0,11.9
gdr,1,8,1,77.03333333333333
gdr,1,9,0,5.4
gdr,1,9,1,71.26666666666667
gdr,1,10,0,13.2
gdr,1,10,1,78.36666666666666
gdr,1,11,0,7.675
gdr,1,11,1,78.16666666666667
gdr,1,12,0,11.775
gdr,1,12,1,78.96666666666667
gdr,1,13,0,11.05
gdr,1,13,1,78.36666666666666
gdr,1,14,0,13.975
gdr,1,14,1,79.63333333333334
gdr,1,15,0,15.75
gdr,1,15,1,80.26666666666667
gdr,1,16,0,10.55
gdr,1,16,1,79.16666666666667
gdr,1,17,0,12.0
gdr,1,17,1,81.2
gdr,1,18,0,13.875
gdr,1,18,1,80.0
gdr,1,19,0,17.15
gdr,1,19,1,81.53333333333333
gdr,1,20,0,15.9
gdr,1,20,1,80.8
gdr,1,21,0,17.0
gdr,1,21,1,82.0
gdr,1,22,0,21.925
gdr,1,22,1,81.63333333333334
gdr,1,23,0,19.65
gdr,1,23,1,82.7
gdr,1,24,0,21.075
gdr,1,24,1,82.06666666666666
gdr,1,25,0,20.25
gdr,1,25,1,82.36666666666666
gdr,1,26,0,19.25
gdr,1,26,1,82.7
gdr,1,27,0,20.825
gdr,1,27,1,82.46666666666667
gdr,1,28,0,20.975
gdr,1,28,1,82.86666666666666
gdr,1,29,0,20.775
gdr,1,29,1,82.73333333333333
gdr,1,30,0,21.825
gdr,1,30,1,82.96666666666667
gdr,1,31,0,22.625
gdr,1,31,1,83.5
gdr,1,32,0,21.3
gdr,1,32,1,83.83333333333333
gdr,1,33,0,22.05
gdr,1,33,1,83.76666666666667
gdr,1,34,0,22.25
gdr,1,34,1,83.9
gdr,1,35,0,22.65
gdr,1,35,1,83.46666666666667
gdr,1,36,0,24.125
gdr,1,36,1,83.96666666666667
gdr,1,37,0,21.2
gdr,1,37,1,83.83333333333333
gdr,1,38,0,21.5
gdr,1,38,1,84.2
gdr,1,39,0,24.15
gdr,1,39,1,84.16666666666667
gdr,1,40,0,23.65
gdr,1,40,1,84.2
gdr,1,41,0,23.55
gdr,1,41,1,84.1
gdr,1,42,0,21.875
gdr,1,42,1,84.3
gdr,1,43,0,22.75
gdr,1,43,1,84.23333333333333
gdr,1,44,0,21.75
gdr,1,44,1,84.4
gdr,1,45,0,22.25
gdr,1,45,1,84.1
gdr,1,46,0,22.0
gdr,1,46,1,84.3
gdr,1,47,0,22.725
gdr,1,47,1,84.16666666666667
gdr,1,48,0,22.5
gdr,1,48,1,84.03333333333333
gdr,1,49,0,21.35
gdr,1,49,1,84.16666666666667
gdr,1,50,0,22.05
gdr,1,50,1,84.1
gdr,2,1,0,0.0
gdr,2,1,1,0.0
gdr,2,1,2,69.8
gdr,2,2,0,0.0
gdr,2,2,1,0.0
gdr,2,2,2,83.43333333333334
gdr,2,3,0,0.025
gdr,2,3,1,0.0
gdr,2,3,2,84.73333333333333
gdr,2,4,0,0.025
gdr,2,4,1,0.0
gdr,2,4,2,86.7
gdr,2,5,0,0.025
gdr,2,5,1,0.0
gdr,2,5,2,87.2
gdr,2,6,0,0.05
gdr,2,6,1,0.0
gdr,2,6,2,88.26666666666667
gdr,2,7,0,0.225
gdr,2,7,1,0.0
gdr,2,7,2,88.6
gdr,2,8,0,0.225
gdr,2,8,1,0.0
gdr,2,8,2,89.0
gdr,2,9,0,0.2
gdr,2,9,1,0.0
gdr,2,9,2,89.7
gdr,2,10,0,0.225
gdr,2,10,1,0.16666666666666666
gdr,2,10,2,89.96666666666667
gdr,2,11,0,0.35
gdr,2,11,1,1.4333333333333333
gdr,2,11,2,91.2
gdr,2,12,0,0.225
gdr,2,12,1,2.5
gdr,2,12,2,90.8
gdr,2,13,0,0.475
gdr,2,13,1,4.266666666666667
gdr,2,13,2,90.36666666666666
gdr,2,14,0,0.625
gdr,2,14,1,5.433333333333334
gdr,2,14,2,91.5
gdr,2,15,0,0.8
gdr,2,15,1,5.666666666666667
gdr,2,15,2,91.6
gdr,2,16,0,1.025
gdr,2,16,1,6.3
gdr,2,16,2,91.9
gdr,2,17,0,1.525
gdr,2,17,1,8.466666666666667
gdr,2,17,2,92.13333333333334
gdr,2,18,0,0.975
gdr,2,18,1,11.066666666666666
gdr,2,18,2,92.43333333333334
gdr,2,19,0,1.825
gdr,2,19,1,11.766666666666667
gdr,2,19,2,92.26666666666667
gdr,2,20,0,1.4
gdr,2,20,1,12.333333333333334
gdr,2,20,2,92.2
gdr,2,21,0,2.125
gdr,2,21,1,13.266666666666667
gdr,2,21,2,92.1
gdr,2,22,0,2.825
gdr,2,22,1,14.466666666666667
gdr,2,22,2,92.36666666666666
gdr,2,23,0,2.95
gdr,2,23,1,15.533333333333333
gdr,2,23,2,92.3
gdr,2,24,0,4.75
gdr,2,24,1,16.866666666666667
gdr,2,24,2,92.13333333333334
gdr,2,25,0,4.25
gdr,2,25,1,16.0
gdr,2,25,2,92.66666666666667
gdr,2,26,0,4.85
gdr,2,26,1,16.266666666666666
gdr,2,26,2,92.66666666666667
gdr,2,27,0,5.0
gdr,2,27,1,16.633333333333333
gdr,2,27,2,92.83333333333333
gdr,2,28,0,5.525
gdr,2,28,1,16.966666666666665
gdr,2,28,2,92.83333333333333
gdr,2,29,0,5.55
gdr,2,29,1,18.166666666666668
gdr,2,29,2,92.9
gdr,2,30,0,6.275
gdr,2,30,1,17.433333333333334
gdr,2,30,2,92.86666666666666
gdr,2,31,0,6.925
gdr,2,31,1,18.966666666666665
gdr,2,31,2,92.76666666666667
gdr,2,32,0,6.4
gdr,2,32,1,18.7
gdr,2,32,2,93.13333333333334
gdr,2,33,0,7.4
gdr,2,33,1,20.633333333333333
gdr,2,33,2,92.76666666666667
gdr,2,34,0,8.0
gdr,2,34,1,20.066666666666666
gdr,2,34,2,92.86666666666666
gdr,2,35,0,7.875
gdr,2,35,1,21.4
gdr,2,35,2,92.96666666666667
gdr,2,36,0,8.25
gdr,2,36,1,20.966666666666665
gdr,2,36,2,92.96666666666667
gdr,2,37,0,8.075
gdr,2,37,1,22.733333333333334
gdr,2,37,2,93.1
gdr,2,38,0,8.55
gdr,2,38,1,22.533333333333335
gdr,2,38,2,93.2
gdr,2,39,0,8.1
gdr,2,39,1,21.766666666666666
gdr,2,39,2,93.36666666666666
gdr,2,40,0,8.525
gdr,2,40,1,23.033333333333335
gdr,2,40,2,93.23333333333333
gdr,2,41,0,8.975
gdr,2,41,1,23.366666666666667
gdr,2,41,2,93.26666666666667
gdr,2,42,0,9.075
gdr,2,42,1,23.6
gdr,2,42,2,93.3
gdr,2,43,0,9.25
gdr,2,43,1,23.666666666666668
gdr,2,43,2,92.76666666666667
gdr,2,44,0,9.65
gdr,2,44,1,24.133333333333333
gdr,2,44,2,93.23333333333333
gdr,2,45,0,9.025
gdr,2,45,1,23.066666666666666
gdr,2,45,2,93.1
gdr,2,46,0,9.025
gdr,2,46,1,23.0
gdr,2,46,2,93.03333333333333
gdr,2,47,0,9.525
gdr,2,47,1,23.2
gdr,2,47,2,92.86666666666666
gdr,2,48,0,8.675
gdr,2,48,1,23.1
gdr,2,48,2,93.3
gdr,2,49,0,8.85
gdr,2,49,1,22.633333333333333
gdr,2,49,2,93.2
gdr,2,50,0,8.875
gdr,2,50,1,23.466666666666665
gdr,2,50,2,93.3
