Method,Train_Task,Round,Eval_Task,Accuracy
gdr+tts,0,1,0,25.8
gdr+tts,0,2,0,25.0
gdr+tts,0,3,0,53.15
gdr+tts,0,4,0,60.8
gdr+tts,0,5,0,25.35
gdr+tts,0,6,0,24.7
gdr+tts,0,7,0,25.0
gdr+tts,0,8,0,37.625
gdr+tts,0,9,0,46.525
gdr+tts,0,10,0,25.475
gdr+tts,0,11,0,47.75
gdr+tts,0,12,0,54.025
gdr+tts,0,13,0,52.075
gdr+tts,0,14,0,54.2
gdr+tts,0,15,0,45.7
gdr+tts,0,16,0,59.8
gdr+tts,0,17,0,32.15
gdr+tts,0,18,0,57.725
gdr+tts,0,19,0,58.025
gdr+tts,0,20,0,30.35
gdr+tts,0,21,0,45.0
gdr+tts,0,22,0,52.625
gdr+tts,0,23,0,46.95
gdr+tts,0,24,0,60.4
gdr+tts,0,25,0,60.9
gdr+tts,0,26,0,62.8
gdr+tts,0,27,0,62.75
gdr+tts,0,28,0,54.575
gdr+tts,0,29,0,61.7
gdr+tts,0,30,0,63.6
gdr+tts,0,31,0,63.95
gdr+tts,0,32,0,63.325
gdr+tts,0,33,0,61.2
gdr+tts,0,34,0,62.8
gdr+tts,0,35,0,64.825
gdr+tts,0,36,0,55.1
gdr+tts,0,37,0,63.45
gdr+tts,0,38,0,65.225
gdr+tts,0,39,0,64.15
gdr+tts,0,40,0,64.975
gdr+tts,0,41,0,65.1
gdr+tts,0,42,0,64.275
gdr+tts,0,43,0,65.475
gdr+tts,0,44,0,62.05
gdr+tts,0,45,0,65.275
gdr+tts,0,46,0,66.1
gdr+tts,0,47,0,62.825
gdr+tts,0,48,0,66.425
gdr+tts,0,49,0,62.675
gdr+tts,0,50,0,66.425
gdr+tts,1,1,0,0.0
gdr+tts,1,1,1,42.833333333333336
gdr+tts,1,2,0,0.125
gdr+tts,1,2,1,44.333333333333336
gdr+tts,1,3,0,0.2
gdr+tts,1,3,1,47.266666666666666
gdr+tts,1,4,0,0.375
gdr+tts,1,4,1,48.233333333333334
gdr+tts,1,5,0,3.1
gdr+tts,1,5,1,52.06666666666667
gdr+tts,1,6,0,6.325
gdr+tts,1,6,1,50.7
gdr+tts,1,7,0,1.45
gdr+tts,1,7,1,54.13333333333333
gdr+tts,1,8,0,8.625
