Method,Train_Task,Round,Eval_Task,Accuracy
random+tts,0,1,0,6.4
random+tts,0,2,0,8.85
random+tts,0,3,0,14.1
random+tts,0,4,0,17.0
random+tts,0,5,0,21.05
random+tts,0,6,0,25.2
random+tts,0,7,0,26.0
random+tts,0,8,0,28.4
random+tts,0,9,0,28.75
random+tts,0,10,0,30.8
random+tts,0,11,0,31.75
random+tts,0,12,0,32.65
random+tts,0,13,0,33.5
random+tts,0,14,0,34.5
random+tts,0,15,0,35.6
random+tts,0,16,0,36.75
random+tts,0,17,0,37.35
random+tts,0,18,0,36.75
random+tts,0,19,0,38.15
random+tts,0,20,0,37.95
random+tts,0,21,0,39.1
random+tts,0,22,0,39.1
random+tts,0,23,0,38.5
random+tts,0,24,0,39.4
random+tts,0,25,0,41.25
random+tts,0,26,0,41.05
random+tts,0,27,0,41.9
random+tts,0,28,0,42.0
random+tts,0,29,0,41.8
random+tts,0,30,0,42.15
random+tts,0,31,0,41.7
random+tts,0,32,0,42.9
random+tts,0,33,0,42.9
random+tts,0,34,0,42.9
random+tts,0,35,0,43.0
random+tts,0,36,0,43.7
random+tts,0,37,0,44.0
random+tts,0,38,0,43.8
random+tts,0,39,0,44.0
random+tts,0,40,0,43.9
random+tts,0,41,0,44.2
random+tts,0,42,0,44.4
random+tts,0,43,0,44.4
random+tts,0,44,0,44.35
random+tts,0,45,0,44.05
random+tts,0,46,0,44.4
random+tts,0,47,0,44.55
random+tts,0,48,0,44.3
random+tts,0,49,0,44.7
random+tts,0,50,0,44.55
random+tts,1,1,0,0.0
random+tts,1,1,1,12.15
random+tts,1,2,0,0.15
random+tts,1,2,1,13.75
random+tts,1,3,0,0.6
random+tts,1,3,1,13.9
random+tts,1,4,0,4.05
random+tts,1,4,1,15.0
random+tts,1,5,0,3.15
random+tts,1,5,1,18.7
random+tts,1,6,0,4.15
random+tts,1,6,1,19.5
random+tts,1,7,0,4.9
random+tts,1,7,1,19.7
random+tts,1,8,0,6.55
random+tts,1,8,1,19.7
random+tts,1,9,0,4.95
random+tts,1,9,1,24.6
random+tts,1,10,0,8.6
random+tts,1,10,1,23.45
random+tts,1,11,0,8.95
random+tts,1,11,1,26.45
random+tts,1,12,0,8.0
random+tts,1,12,1,24.7
random+tts,1,13,0,10.05
random+tts,1,13,1,25.6
random+tts,1,14,0,10.4
random+tts,1,14,1,27.1
random+tts,1,15,0,11.85
random+tts,1,15,1,27.15
random+tts,1,16,0,13.65
random+tts,1,16,1,26.85
random+tts,1,17,0,10.2
random+tts,1,17,1,27.6
random+tts,1,18,0,14.55
random+tts,1,18,1,30.3
random+tts,1,19,0,13.45
random+tts,1,19,1,29.35
random+tts,1,20,0,14.25
random+tts,1,20,1,28.85
random+tts,1,21,0,19.05
random+tts,1,21,1,27.7
random+tts,1,22,0,16.35
random+tts,1,22,1,28.9
random+tts,1,23,0,18.9
random+tts,1,23,1,30.35
random+tts,1,24,0,18.25
random+tts,1,24,1,28.35
random+tts,1,25,0,18.1
random+tts,1,25,1,30.8
random+tts,1,26,0,17.05
random+tts,1,26,1,31.95
random+tts,1,27,0,17.5
random+tts,1,27,1,32.1
random+tts,1,28,0,18.05
random+tts,1,28,1,32.05
random+tts,1,29,0,17.65
random+tts,1,29,1,32.25
random+tts,1,30,0,17.55
random+tts,1,30,1,32.5
random+tts,1,31,0,16.9
random+tts,1,31,1,35.35
random+tts,1,32,0,17.2
random+tts,1,32,1,32.9
random+tts,1,33,0,18.95
random+tts,1,33,1,35.25
random+tts,1,34,0,17.85
random+tts,1,34,1,34.8
random+tts,1,35,0,17.85
random+tts,1,35,1,36.25
random+tts,1,36,0,18.15
random+tts,1,36,1,35.7
random+tts,1,37,0,17.45
random+tts,1,37,1,36.7
random+tts,1,38,0,17.45
random+tts,1,38,1,37.3
random+tts,1,39,0,17.2
random+tts,1,39,1,37.0
random+tts,1,40,0,18.3
random+tts,1,40,1,36.7
random+tts,1,41,0,17.6
random+tts,1,41,1,37.3
random+tts,1,42,0,17.8
random+tts,1,42,1,37.7
random+tts,1,43,0,17.4
random+tts,1,43,1,37.55
random+tts,1,44,0,17.55
random+tts,1,44,1,38.2
random+tts,1,45,0,17.0
random+tts,1,45,1,38.6
random+tts,1,46,0,16.95
random+tts,1,46,1,38.35
random+tts,1,47,0,17.5
random+tts,1,47,1,38.45
random+tts,1,48,0,17.7
random+tts,1,48,1,38.25
random+tts,1,49,0,17.45
random+tts,1,49,1,38.75
random+tts,1,50,0,17.55
random+tts,1,50,1,38.55
random+tts,2,1,0,3.15
random+tts,2,1,1,3.45
random+tts,2,1,2,5.9
random+tts,2,2,0,1.85
random+tts,2,2,1,2.25
random+tts,2,2,2,9.4
random+tts,2,3,0,6.75
random+tts,2,3,1,1.5
random+tts,2,3,2,8.95
random+tts,2,4,0,6.6
random+tts,2,4,1,0.05
random+tts,2,4,2,12.4
random+tts,2,5,0,8.1
random+tts,2,5,1,4.4
random+tts,2,5,2,14.2
random+tts,2,6,0,9.55
random+tts,2,6,1,3.7
random+tts,2,6,2,17.85
random+tts,2,7,0,8.9
random+tts,2,7,1,10.3
random+tts,2,7,2,20.6
random+tts,2,8,0,12.25
random+tts,2,8,1,6.1
random+tts,2,8,2,18.25
random+tts,2,9,0,11.15
random+tts,2,9,1,10.55
random+tts,2,9,2,24.55
random+tts,2,10,0,16.95
random+tts,2,10,1,7.0
random+tts,2,10,2,17.4
random+tts,2,11,0,14.3
random+tts,2,11,1,13.85
random+tts,2,11,2,24.5
random+tts,2,12,0,16.0
