Method,Train_Task,Round,Eval_Task,Accuracy
none,0,1,0,6.45
none,0,2,0,14.5
none,0,3,0,20.3
none,0,4,0,24.45
none,0,5,0,28.35
none,0,6,0,30.2
none,0,7,0,32.95
none,0,8,0,31.1
none,0,9,0,35.05
none,0,10,0,36.6
none,0,11,0,37.0
none,0,12,0,36.1
none,0,13,0,39.05
none,0,14,0,39.45
none,0,15,0,38.85
none,0,16,0,41.15
none,0,17,0,41.35
none,0,18,0,42.15
none,0,19,0,43.05
none,0,20,0,43.7
none,0,21,0,43.5
none,0,22,0,44.55
none,0,23,0,43.8
none,0,24,0,44.85
none,0,25,0,45.9
none,0,26,0,44.95
none,0,27,0,47.25
none,0,28,0,44.55
none,0,29,0,47.05
none,0,30,0,47.1
none,0,31,0,40.8
none,0,32,0,47.4
none,0,33,0,48.15
none,0,34,0,49.85
none,0,35,0,50.1
none,0,36,0,50.35
none,0,37,0,48.75
none,0,38,0,49.2
none,0,39,0,49.55
none,0,40,0,48.3
none,0,41,0,49.75
none,0,42,0,50.2
none,0,43,0,50.55
none,0,44,0,50.4
none,0,45,0,51.5
none,0,46,0,50.85
none,0,47,0,51.0
none,0,48,0,51.0
none,0,49,0,51.65
none,0,50,0,51.35
none,1,1,0,0.0
none,1,1,1,32.1
none,1,2,0,0.0
none,1,2,1,38.2
none,1,3,0,0.0
none,1,3,1,40.6
none,1,4,0,0.0
none,1,4,1,41.9
none,1,5,0,0.0
none,1,5,1,45.8
none,1,6,0,0.0
none,1,6,1,47.35
none,1,7,0,0.0
none,1,7,1,46.0
none,1,8,0,0.0
none,1,8,1,45.8
none,1,9,0,0.0
none,1,9,1,49.35
none,1,10,0,0.0
none,1,10,1,45.45
none,1,11,0,0.0
none,1,11,1,50.2
none,1,12,0,0.0
none,1,12,1,51.55
none,1,13,0,0.0
none,1,13,1,52.6
none,1,14,0,0.0
none,1,14,1,53.45
none,1,15,0,0.0
none,1,15,1,52.75
none,1,16,0,0.0
none,1,16,1,54.0
none,1,17,0,0.0
none,1,17,1,54.35
none,1,18,0,0.0
none,1,18,1,54.35
none,1,19,0,0.0
none,1,19,1,54.25
none,1,20,0,0.0
none,1,20,1,54.9
none,1,21,0,0.0
none,1,21,1,54.35
none,1,22,0,0.0
none,1,22,1,56.1
none,1,23,0,0.0
none,1,23,1,56.2
none,1,24,0,0.0
none,1,24,1,56.9
none,1,25,0,0.0
none,1,25,1,55.8
none,1,26,0,0.0
none,1,26,1,57.7
none,1,27,0,0.0
none,1,27,1,57.8
none,1,28,0,0.0
none,1,28,1,56.85
none,1,29,0,0.0
none,1,29,1,58.15
none,1,30,0,0.0
none,1,30,1,58.5
none,1,31,0,0.0
none,1,31,1,57.2
none,1,32,0,0.0
none,1,32,1,58.75
none,1,33,0,0.0
none,1,33,1,59.3
none,1,34,0,0.0
none,1,34,1,58.65
none,1,35,0,0.0
none,1,35,1,59.1
none,1,36,0,0.0
none,1,36,1,59.2
none,1,37,0,0.0
none,1,37,1,59.3
none,1,38,0,0.0
none,1,38,1,59.65
none,1,39,0,0.0
none,1,39,1,60.0
none,1,40,0,0.0
none,1,40,1,60.2
none,1,41,0,0.0
none,1,41,1,59.95
none,1,42,0,0.0
none,1,42,1,59.8
none,1,43,0,0.0
none,1,43,1,59.25
none,1,44,0,0.0
none,1,44,1,59.65
none,1,45,0,0.0
none,1,45,1,59.8
none,1,46,0,0.0
none,1,46,1,59.95
none,1,47,0,0.0
none,1,47,1,60.1
none,1,48,0,0.0
none,1,48,1,60.2
none,1,49,0,0.0
none,1,49,1,60.0
none,1,50,0,0.0
none,1,50,1,59.8
none,2,1,0,0.0
none,2,1,1,0.0
none,2,1,2,29.45
none,2,2,0,0.0
none,2,2,1,0.0
none,2,2,2,45.05
none,2,3,0,0.0
none,2,3,1,0.0
none,2,3,2,48.65
none,2,4,0,0.0
none,2,4,1,0.0
none,2,4,2,49.6
none,2,5,0,0.0
