Method,Train_Task,Round,Eval_Task,Accuracy
gdr_tabular_t7_a1,0,1,0,51.37318255250404
gdr_tabular_t7_a1,0,2,0,60.25848142164782
gdr_tabular_t7_a1,0,3,0,67.52827140549273
gdr_tabular_t7_a1,0,4,0,75.2827140549273
gdr_tabular_t7_a1,0,5,0,81.58319870759289
gdr_tabular_t7_a1,0,6,0,85.94507269789983
gdr_tabular_t7_a1,0,7,0,86.59127625201938
gdr_tabular_t7_a1,0,8,0,88.69143780290791
gdr_tabular_t7_a1,0,9,0,90.1453957996769
gdr_tabular_t7_a1,0,10,0,91.11470113085622
gdr_tabular_t7_a1,0,11,0,91.437802907916
gdr_tabular_t7_a1,0,12,0,91.59935379644588
gdr_tabular_t7_a1,0,13,0,92.40710823909531
gdr_tabular_t7_a1,0,14,0,92.73021001615508
gdr_tabular_t7_a1,0,15,0,92.89176090468497
gdr_tabular_t7_a1,0,16,0,92.89176090468497
gdr_tabular_t7_a1,0,17,0,92.89176090468497
gdr_tabular_t7_a1,0,18,0,93.21486268174475
gdr_tabular_t7_a1,0,19,0,93.53796445880452
gdr_tabular_t7_a1,0,20,0,93.53796445880452
gdr_tabular_t7_a1,0,21,0,93.69951534733441
gdr_tabular_t7_a1,0,22,0,93.8610662358643
gdr_tabular_t7_a1,0,23,0,93.8610662358643
gdr_tabular_t7_a1,0,24,0,94.02261712439419
gdr_tabular_t7_a1,0,25,0,94.18416801292408
gdr_tabular_t7_a1,0,26,0,94.02261712439419
gdr_tabular_t7_a1,0,27,0,94.02261712439419
gdr_tabular_t7_a1,0,28,0,94.02261712439419
gdr_tabular_t7_a1,0,29,0,94.02261712439419
gdr_tabular_t7_a1,0,30,0,94.02261712439419
gdr_tabular_t7_a1,0,31,0,94.34571890145396
gdr_tabular_t7_a1,0,32,0,94.50726978998385
gdr_tabular_t7_a1,0,33,0,94.66882067851373
gdr_tabular_t7_a1,0,34,0,94.50726978998385
gdr_tabular_t7_a1,0,35,0,94.50726978998385
gdr_tabular_t7_a1,0,36,0,94.66882067851373
gdr_tabular_t7_a1,0,37,0,94.83037156704361
gdr_tabular_t7_a1,0,38,0,94.83037156704361
gdr_tabular_t7_a1,0,39,0,94.83037156704361
gdr_tabular_t7_a1,0,40,0,94.83037156704361
gdr_tabular_t7_a1,0,41,0,95.15347334410339
gdr_tabular_t7_a1,0,42,0,95.15347334410339
gdr_tabular_t7_a1,0,43,0,95.31502423263328
gdr_tabular_t7_a1,0,44,0,95.31502423263328
gdr_tabular_t7_a1,0,45,0,95.31502423263328
gdr_tabular_t7_a1,0,46,0,95.31502423263328
gdr_tabular_t7_a1,0,47,0,95.31502423263328
gdr_tabular_t7_a1,0,48,0,95.31502423263328
gdr_tabular_t7_a1,0,49,0,95.31502423263328
gdr_tabular_t7_a1,0,50,0,95.31502423263328
gdr_tabular_t7_a1,0,51,0,95.31502423263328
gdr_tabular_t7_a1,0,52,0,95.31502423263328
gdr_tabular_t7_a1,0,53,0,95.31502423263328
gdr_tabular_t7_a1,0,54,0,95.31502423263328
gdr_tabular_t7_a1,0,55,0,95.31502423263328
gdr_tabular_t7_a1,0,56,0,95.31502423263328
gdr_tabular_t7_a1,0,57,0,95.31502423263328
gdr_tabular_t7_a1,0,58,0,95.31502423263328
gdr_tabular_t7_a1,0,59,0,95.31502423263328
gdr_tabular_t7_a1,0,60,0,95.31502423263328
gdr_tabular_t7_a1,0,61,0,95.31502423263328
gdr_tabular_t7_a1,0,62,0,95.31502423263328
gdr_tabular_t7_a1,0,63,0,95.31502423263328
gdr_tabular_t7_a1,0,64,0,95.31502423263328
gdr_tabular_t7_a1,0,65,0,95.47657512116317
gdr_tabular_t7_a1,0,66,0,95.47657512116317
gdr_tabular_t7_a1,0,67,0,95.79967689822294
gdr_tabular_t7_a1,0,68,0,95.79967689822294
gdr_tabular_t7_a1,0,69,0,95.63812600969305
gdr_tabular_t7_a1,0,70,0,95.63812600969305
gdr_tabular_t7_a1,0,71,0,95.79967689822294
gdr_tabular_t7_a1,0,72,0,95.79967689822294
gdr_tabular_t7_a1,0,73,0,95.79967689822294
gdr_tabular_t7_a1,0,74,0,95.79967689822294
gdr_tabular_t7_a1,0,75,0,95.79967689822294
gdr_tabular_t7_a1,0,76,0,95.79967689822294
gdr_tabular_t7_a1,0,77,0,95.79967689822294
gdr_tabular_t7_a1,0,78,0,95.79967689822294
gdr_tabular_t7_a1,0,79,0,95.79967689822294
gdr_tabular_t7_a1,0,80,0,95.79967689822294
gdr_tabular_t7_a1,0,81,0,95.79967689822294
gdr_tabular_t7_a1,0,82,0,95.79967689822294
gdr_tabular_t7_a1,0,83,0,95.63812600969305
gdr_tabular_t7_a1,0,84,0,95.79967689822294
gdr_tabular_t7_a1,0,85,0,95.79967689822294
gdr_tabular_t7_a1,0,86,0,95.79967689822294
gdr_tabular_t7_a1,0,87,0,95.79967689822294
gdr_tabular_t7_a1,0,88,0,95.63812600969305
gdr_tabular_t7_a1,0,89,0,95.63812600969305
gdr_tabular_t7_a1,0,90,0,95.79967689822294
gdr_tabular_t7_a1,0,91,0,95.79967689822294
gdr_tabular_t7_a1,0,92,0,95.79967689822294
gdr_tabular_t7_a1,0,93,0,95.79967689822294
gdr_tabular_t7_a1,0,94,0,95.79967689822294
gdr_tabular_t7_a1,0,95,0,95.79967689822294
gdr_tabular_t7_a1,0,96,0,95.79967689822294
gdr_tabular_t7_a1,0,97,0,95.79967689822294
gdr_tabular_t7_a1,0,98,0,95.79967689822294
gdr_tabular_t7_a1,0,99,0,95.79967689822294
gdr_tabular_t7_a1,0,100,0,95.79967689822294
gdr_tabular_t7_a1,1,1,0,95.79967689822294
gdr_tabular_t7_a1,1,1,1,0.0
gdr_tabular_t7_a1,1,2,0,95.79967689822294
gdr_tabular_t7_a1,1,2,1,0.6546644844517185
gdr_tabular_t7_a1,1,3,0,95.15347334410339
gdr_tabular_t7_a1,1,3,1,28.314238952536826
gdr_tabular_t7_a1,1,4,0,89.01453957996769
gdr_tabular_t7_a1,1,4,1,50.57283142389525
gdr_tabular_t7_a1,1,5,0,81.58319870759289
gdr_tabular_t7_a1,1,5,1,69.88543371522096
gdr_tabular_t7_a1,1,6,0,76.09046849757674
gdr_tabular_t7_a1,1,6,1,80.85106382978724
gdr_tabular_t7_a1,1,7,0,71.08239095315024
gdr_tabular_t7_a1,1,7,1,84.94271685761048
gdr_tabular_t7_a1,1,8,0,67.36672051696284
gdr_tabular_t7_a1,1,8,1,86.90671031096564
gdr_tabular_t7_a1,1,9,0,64.1357027463651
gdr_tabular_t7_a1,1,9,1,87.39770867430443
gdr_tabular_t7_a1,1,10,0,62.68174474959612
gdr_tabular_t7_a1,1,10,1,87.88870703764321
gdr_tabular_t7_a1,1,11,0,62.035541195476576
gdr_tabular_t7_a1,1,11,1,88.21603927986907
gdr_tabular_t7_a1,1,12,0,60.4200323101777
gdr_tabular_t7_a1,1,12,1,89.19803600654664
gdr_tabular_t7_a1,1,13,0,61.7124394184168
gdr_tabular_t7_a1,1,13,1,89.68903436988543
gdr_tabular_t7_a1,1,14,0,63.004846526655896
gdr_tabular_t7_a1,1,14,1,89.68903436988543
