Method,Train_Task,Round,Eval_Task,Accuracy
gdr+tts_tabular_t3_a1,0,1,0,41.99855177407676
gdr+tts_tabular_t3_a1,0,2,0,57.639391745112235
gdr+tts_tabular_t3_a1,0,3,0,68.93555394641564
gdr+tts_tabular_t3_a1,0,4,0,73.85952208544533
gdr+tts_tabular_t3_a1,0,5,0,77.04561911658219
gdr+tts_tabular_t3_a1,0,6,0,79.36278059377263
gdr+tts_tabular_t3_a1,0,7,0,81.31788559015206
gdr+tts_tabular_t3_a1,0,8,0,81.82476466328747
gdr+tts_tabular_t3_a1,0,9,0,82.33164373642288
gdr+tts_tabular_t3_a1,0,10,0,83.05575669804489
gdr+tts_tabular_t3_a1,0,11,0,84.14192614047792
gdr+tts_tabular_t3_a1,0,12,0,84.50398262128893
gdr+tts_tabular_t3_a1,0,13,0,85.08327299058654
gdr+tts_tabular_t3_a1,0,14,0,85.30050687907314
gdr+tts_tabular_t3_a1,0,15,0,85.73497465604635
gdr+tts_tabular_t3_a1,0,16,0,85.95220854453295
gdr+tts_tabular_t3_a1,0,17,0,86.53149891383056
gdr+tts_tabular_t3_a1,0,18,0,87.18320057929037
gdr+tts_tabular_t3_a1,0,19,0,87.25561187545257
gdr+tts_tabular_t3_a1,0,20,0,87.40043446777698
gdr+tts_tabular_t3_a1,0,21,0,88.34178131788559
gdr+tts_tabular_t3_a1,0,22,0,88.5590152063722
gdr+tts_tabular_t3_a1,0,23,0,88.6314265025344
gdr+tts_tabular_t3_a1,0,24,0,88.9210716871832
gdr+tts_tabular_t3_a1,0,25,0,89.0658942795076
gdr+tts_tabular_t3_a1,0,26,0,89.42795076031861
gdr+tts_tabular_t3_a1,0,27,0,89.50036205648081
gdr+tts_tabular_t3_a1,0,28,0,89.57277335264301
gdr+tts_tabular_t3_a1,0,29,0,89.93482983345402
gdr+tts_tabular_t3_a1,0,30,0,90.07965242577842
gdr+tts_tabular_t3_a1,0,31,0,90.58653149891383
gdr+tts_tabular_t3_a1,0,32,0,90.65894279507603
gdr+tts_tabular_t3_a1,0,33,0,90.80376538740043
gdr+tts_tabular_t3_a1,0,34,0,91.23823316437364
gdr+tts_tabular_t3_a1,0,35,0,91.16582186821144
gdr+tts_tabular_t3_a1,0,36,0,91.38305575669804
gdr+tts_tabular_t3_a1,0,37,0,91.67270094134685
gdr+tts_tabular_t3_a1,0,38,0,91.67270094134685
gdr+tts_tabular_t3_a1,0,39,0,91.67270094134685
gdr+tts_tabular_t3_a1,0,40,0,91.96234612599565
gdr+tts_tabular_t3_a1,0,41,0,92.03475742215785
gdr+tts_tabular_t3_a1,0,42,0,92.10716871832005
gdr+tts_tabular_t3_a1,0,43,0,92.17958001448226
gdr+tts_tabular_t3_a1,0,44,0,92.32440260680666
gdr+tts_tabular_t3_a1,0,45,0,92.39681390296886
gdr+tts_tabular_t3_a1,0,46,0,92.75887038377986
gdr+tts_tabular_t3_a1,0,47,0,92.68645908761766
gdr+tts_tabular_t3_a1,0,48,0,92.68645908761766
gdr+tts_tabular_t3_a1,0,49,0,92.83128167994207
gdr+tts_tabular_t3_a1,0,50,0,92.90369297610427
gdr+tts_tabular_t3_a1,0,51,0,92.83128167994207
gdr+tts_tabular_t3_a1,0,52,0,92.97610427226647
gdr+tts_tabular_t3_a1,0,53,0,92.97610427226647
gdr+tts_tabular_t3_a1,0,54,0,92.83128167994207
gdr+tts_tabular_t3_a1,0,55,0,92.97610427226647
gdr+tts_tabular_t3_a1,0,56,0,93.04851556842867
gdr+tts_tabular_t3_a1,0,57,0,93.12092686459087
gdr+tts_tabular_t3_a1,0,58,0,93.12092686459087
gdr+tts_tabular_t3_a1,0,59,0,93.33816075307747
gdr+tts_tabular_t3_a1,0,60,0,93.26574945691527
gdr+tts_tabular_t3_a1,0,61,0,93.26574945691527
gdr+tts_tabular_t3_a1,0,62,0,93.33816075307747
gdr+tts_tabular_t3_a1,0,63,0,93.33816075307747
gdr+tts_tabular_t3_a1,0,64,0,93.33816075307747
gdr+tts_tabular_t3_a1,0,65,0,93.41057204923968
gdr+tts_tabular_t3_a1,0,66,0,93.41057204923968
gdr+tts_tabular_t3_a1,0,67,0,93.62780593772628
gdr+tts_tabular_t3_a1,0,68,0,93.62780593772628
gdr+tts_tabular_t3_a1,0,69,0,93.70021723388848
