Method,Train_Task,Round,Eval_Task,Accuracy
gdr+tts_tabular_t7_a0.1,0,1,0,41.680129240710826
gdr+tts_tabular_t7_a0.1,0,2,0,46.849757673667206
gdr+tts_tabular_t7_a0.1,0,3,0,52.66558966074314
gdr+tts_tabular_t7_a0.1,0,4,0,58.158319870759286
gdr+tts_tabular_t7_a0.1,0,5,0,61.38933764135703
gdr+tts_tabular_t7_a0.1,0,6,0,63.81260096930533
gdr+tts_tabular_t7_a0.1,0,7,0,66.5589660743134
gdr+tts_tabular_t7_a0.1,0,8,0,68.33602584814217
gdr+tts_tabular_t7_a0.1,0,9,0,69.46688206785137
gdr+tts_tabular_t7_a0.1,0,10,0,69.78998384491115
gdr+tts_tabular_t7_a0.1,0,11,0,69.95153473344104
gdr+tts_tabular_t7_a0.1,0,12,0,70.59773828756059
gdr+tts_tabular_t7_a0.1,0,13,0,70.75928917609046
gdr+tts_tabular_t7_a0.1,0,14,0,70.92084006462035
gdr+tts_tabular_t7_a0.1,0,15,0,71.24394184168013
gdr+tts_tabular_t7_a0.1,0,16,0,71.40549273021001
gdr+tts_tabular_t7_a0.1,0,17,0,71.72859450726979
gdr+tts_tabular_t7_a0.1,0,18,0,72.21324717285945
gdr+tts_tabular_t7_a0.1,0,19,0,72.53634894991923
gdr+tts_tabular_t7_a0.1,0,20,0,72.69789983844912
gdr+tts_tabular_t7_a0.1,0,21,0,72.85945072697899
gdr+tts_tabular_t7_a0.1,0,22,0,73.02100161550888
gdr+tts_tabular_t7_a0.1,0,23,0,73.34410339256866
gdr+tts_tabular_t7_a0.1,0,24,0,73.66720516962843
gdr+tts_tabular_t7_a0.1,0,25,0,73.82875605815832
gdr+tts_tabular_t7_a0.1,0,26,0,74.31340872374798
gdr+tts_tabular_t7_a0.1,0,27,0,75.12116316639741
gdr+tts_tabular_t7_a0.1,0,28,0,74.95961227786754
gdr+tts_tabular_t7_a0.1,0,29,0,75.2827140549273
gdr+tts_tabular_t7_a0.1,0,30,0,75.44426494345718
gdr+tts_tabular_t7_a0.1,0,31,0,76.25201938610662
gdr+tts_tabular_t7_a0.1,0,32,0,76.41357027463651
gdr+tts_tabular_t7_a0.1,0,33,0,76.41357027463651
gdr+tts_tabular_t7_a0.1,0,34,0,76.73667205169629
gdr+tts_tabular_t7_a0.1,0,35,0,76.89822294022618
gdr+tts_tabular_t7_a0.1,0,36,0,76.89822294022618
gdr+tts_tabular_t7_a0.1,0,37,0,76.89822294022618
gdr+tts_tabular_t7_a0.1,0,38,0,77.05977382875606
