Method,Train_Task,Round,Eval_Task,Accuracy
kmeans+tts_tabular_t5_a0.5,0,1,0,41.16379310344828
kmeans+tts_tabular_t5_a0.5,0,2,0,53.77155172413793
kmeans+tts_tabular_t5_a0.5,0,3,0,64.76293103448276
kmeans+tts_tabular_t5_a0.5,0,4,0,72.41379310344827
kmeans+tts_tabular_t5_a0.5,0,5,0,78.125
kmeans+tts_tabular_t5_a0.5,0,6,0,80.38793103448276
kmeans+tts_tabular_t5_a0.5,0,7,0,83.08189655172414
kmeans+tts_tabular_t5_a0.5,0,8,0,84.91379310344827
kmeans+tts_tabular_t5_a0.5,0,9,0,86.42241379310344
kmeans+tts_tabular_t5_a0.5,0,10,0,86.74568965517241
kmeans+tts_tabular_t5_a0.5,0,11,0,88.14655172413794
kmeans+tts_tabular_t5_a0.5,0,12,0,88.6853448275862
kmeans+tts_tabular_t5_a0.5,0,13,0,89.54741379310344
kmeans+tts_tabular_t5_a0.5,0,14,0,89.76293103448276
kmeans+tts_tabular_t5_a0.5,0,15,0,90.19396551724138
kmeans+tts_tabular_t5_a0.5,0,16,0,90.19396551724138
kmeans+tts_tabular_t5_a0.5,0,17,0,90.40948275862068
kmeans+tts_tabular_t5_a0.5,0,18,0,90.40948275862068
kmeans+tts_tabular_t5_a0.5,0,19,0,90.94827586206897
kmeans+tts_tabular_t5_a0.5,0,20,0,91.27155172413794
kmeans+tts_tabular_t5_a0.5,0,21,0,91.59482758620689
kmeans+tts_tabular_t5_a0.5,0,22,0,91.70258620689656
kmeans+tts_tabular_t5_a0.5,0,23,0,91.70258620689656
kmeans+tts_tabular_t5_a0.5,0,24,0,91.8103448275862
kmeans+tts_tabular_t5_a0.5,0,25,0,91.8103448275862
kmeans+tts_tabular_t5_a0.5,0,26,0,91.91810344827586
kmeans+tts_tabular_t5_a0.5,0,27,0,92.24137931034483
kmeans+tts_tabular_t5_a0.5,0,28,0,92.34913793103448
kmeans+tts_tabular_t5_a0.5,0,29,0,92.5646551724138
kmeans+tts_tabular_t5_a0.5,0,30,0,92.88793103448276
kmeans+tts_tabular_t5_a0.5,0,31,0,92.88793103448276
kmeans+tts_tabular_t5_a0.5,0,32,0,93.10344827586206
kmeans+tts_tabular_t5_a0.5,0,33,0,92.88793103448276
kmeans+tts_tabular_t5_a0.5,0,34,0,92.78017241379311
kmeans+tts_tabular_t5_a0.5,0,35,0,93.10344827586206
kmeans+tts_tabular_t5_a0.5,0,36,0,93.10344827586206
kmeans+tts_tabular_t5_a0.5,0,37,0,93.10344827586206
kmeans+tts_tabular_t5_a0.5,0,38,0,93.21120689655173
kmeans+tts_tabular_t5_a0.5,0,39,0,93.53448275862068
kmeans+tts_tabular_t5_a0.5,0,40,0,93.64224137931035
kmeans+tts_tabular_t5_a0.5,0,41,0,93.64224137931035
kmeans+tts_tabular_t5_a0.5,0,42,0,93.64224137931035
kmeans+tts_tabular_t5_a0.5,0,43,0,93.75
kmeans+tts_tabular_t5_a0.5,0,44,0,93.85775862068965
kmeans+tts_tabular_t5_a0.5,0,45,0,93.96551724137932
kmeans+tts_tabular_t5_a0.5,0,46,0,94.18103448275862
