Method,Train_Task,Round,Eval_Task,Accuracy
kmeans+tts_tabular_t5_a1,0,1,0,46.33620689655172
kmeans+tts_tabular_t5_a1,0,2,0,57.435344827586206
kmeans+tts_tabular_t5_a1,0,3,0,67.02586206896552
kmeans+tts_tabular_t5_a1,0,4,0,72.84482758620689
kmeans+tts_tabular_t5_a1,0,5,0,77.90948275862068
kmeans+tts_tabular_t5_a1,0,6,0,83.1896551724138
kmeans+tts_tabular_t5_a1,0,7,0,85.02155172413794
kmeans+tts_tabular_t5_a1,0,8,0,86.3146551724138
kmeans+tts_tabular_t5_a1,0,9,0,87.82327586206897
kmeans+tts_tabular_t5_a1,0,10,0,88.57758620689656
kmeans+tts_tabular_t5_a1,0,11,0,89.65517241379311
kmeans+tts_tabular_t5_a1,0,12,0,90.40948275862068
kmeans+tts_tabular_t5_a1,0,13,0,91.37931034482759
kmeans+tts_tabular_t5_a1,0,14,0,91.48706896551724
kmeans+tts_tabular_t5_a1,0,15,0,92.02586206896552
kmeans+tts_tabular_t5_a1,0,16,0,92.34913793103448
kmeans+tts_tabular_t5_a1,0,17,0,92.5646551724138
kmeans+tts_tabular_t5_a1,0,18,0,92.67241379310344
kmeans+tts_tabular_t5_a1,0,19,0,92.78017241379311
kmeans+tts_tabular_t5_a1,0,20,0,92.78017241379311
kmeans+tts_tabular_t5_a1,0,21,0,92.78017241379311
kmeans+tts_tabular_t5_a1,0,22,0,93.10344827586206
kmeans+tts_tabular_t5_a1,0,23,0,93.53448275862068
kmeans+tts_tabular_t5_a1,0,24,0,93.53448275862068
kmeans+tts_tabular_t5_a1,0,25,0,93.31896551724138
kmeans+tts_tabular_t5_a1,0,26,0,93.64224137931035
kmeans+tts_tabular_t5_a1,0,27,0,93.64224137931035
kmeans+tts_tabular_t5_a1,0,28,0,93.53448275862068
kmeans+tts_tabular_t5_a1,0,29,0,93.64224137931035
kmeans+tts_tabular_t5_a1,0,30,0,93.64224137931035
kmeans+tts_tabular_t5_a1,0,31,0,93.64224137931035
kmeans+tts_tabular_t5_a1,0,32,0,93.96551724137932
kmeans+tts_tabular_t5_a1,0,33,0,93.96551724137932
kmeans+tts_tabular_t5_a1,0,34,0,94.18103448275862
kmeans+tts_tabular_t5_a1,0,35,0,94.28879310344827
kmeans+tts_tabular_t5_a1,0,36,0,94.18103448275862
kmeans+tts_tabular_t5_a1,0,37,0,94.28879310344827
kmeans+tts_tabular_t5_a1,0,38,0,94.39655172413794
kmeans+tts_tabular_t5_a1,0,39,0,94.50431034482759
kmeans+tts_tabular_t5_a1,0,40,0,94.39655172413794
kmeans+tts_tabular_t5_a1,0,41,0,94.39655172413794
kmeans+tts_tabular_t5_a1,0,42,0,94.50431034482759
kmeans+tts_tabular_t5_a1,0,43,0,94.71982758620689
kmeans+tts_tabular_t5_a1,0,44,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,45,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,46,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,47,0,94.71982758620689
kmeans+tts_tabular_t5_a1,0,48,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,49,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,50,0,94.82758620689656
kmeans+tts_tabular_t5_a1,0,51,0,95.25862068965517
kmeans+tts_tabular_t5_a1,0,52,0,95.25862068965517
kmeans+tts_tabular_t5_a1,0,53,0,95.04310344827586
kmeans+tts_tabular_t5_a1,0,54,0,95.15086206896552
kmeans+tts_tabular_t5_a1,0,55,0,95.15086206896552
kmeans+tts_tabular_t5_a1,0,56,0,95.36637931034483
kmeans+tts_tabular_t5_a1,0,57,0,95.25862068965517
kmeans+tts_tabular_t5_a1,0,58,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,59,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,60,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,61,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,62,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,63,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,64,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,65,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,66,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,67,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,68,0,95.36637931034483
kmeans+tts_tabular_t5_a1,0,69,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,70,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,71,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,72,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,73,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,74,0,95.47413793103448
kmeans+tts_tabular_t5_a1,0,75,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,76,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,77,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,78,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,79,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,80,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,81,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,82,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,83,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,84,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,85,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,86,0,95.6896551724138
kmeans+tts_tabular_t5_a1,0,87,0,95.6896551724138
kmeans+tts_tabular_t5_a1,0,88,0,95.58189655172414
kmeans+tts_tabular_t5_a1,0,89,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,90,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,91,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,92,0,95.6896551724138
kmeans+tts_tabular_t5_a1,0,93,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,94,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,95,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,96,0,95.79741379310344
kmeans+tts_tabular_t5_a1,0,97,0,95.90517241379311
kmeans+tts_tabular_t5_a1,0,98,0,95.6896551724138
kmeans+tts_tabular_t5_a1,0,99,0,95.6896551724138
kmeans+tts_tabular_t5_a1,0,100,0,95.79741379310344
kmeans+tts_tabular_t5_a1,1,1,0,92.99568965517241
kmeans+tts_tabular_t5_a1,1,1,1,0.0
kmeans+tts_tabular_t5_a1,1,2,0,94.82758620689656
kmeans+tts_tabular_t5_a1,1,2,1,0.0
kmeans+tts_tabular_t5_a1,1,3,0,94.82758620689656
kmeans+tts_tabular_t5_a1,1,3,1,8.0
kmeans+tts_tabular_t5_a1,1,4,0,96.33620689655173
kmeans+tts_tabular_t5_a1,1,4,1,35.86666666666667
kmeans+tts_tabular_t5_a1,1,5,0,90.40948275862068
kmeans+tts_tabular_t5_a1,1,5,1,57.333333333333336
kmeans+tts_tabular_t5_a1,1,6,0,75.96982758620689
kmeans+tts_tabular_t5_a1,1,6,1,66.93333333333334
kmeans+tts_tabular_t5_a1,1,7,0,69.28879310344827
kmeans+tts_tabular_t5_a1,1,7,1,71.73333333333333
kmeans+tts_tabular_t5_a1,1,8,0,59.48275862068966
kmeans+tts_tabular_t5_a1,1,8,1,74.66666666666667
kmeans+tts_tabular_t5_a1,1,9,0,58.081896551724135
kmeans+tts_tabular_t5_a1,1,9,1,74.8
kmeans+tts_tabular_t5_a1,1,10,0,52.58620689655172
kmeans+tts_tabular_t5_a1,1,10,1,76.0
kmeans+tts_tabular_t5_a1,1,11,0,44.39655172413793
kmeans+tts_tabular_t5_a1,1,11,1,76.93333333333334
kmeans+tts_tabular_t5_a1,1,12,0,39.547413793103445
kmeans+tts_tabular_t5_a1,1,12,1,77.73333333333333
kmeans+tts_tabular_t5_a1,1,13,0,33.94396551724138
kmeans+tts_tabular_t5_a1,1,13,1,78.0
kmeans+tts_tabular_t5_a1,1,14,0,29.849137931034484
kmeans+tts_tabular_t5_a1,1,14,1,78.0
kmeans+tts_tabular_t5_a1,1,15,0,28.232758620689655
kmeans+tts_tabular_t5_a1,1,15,1,78.26666666666667
kmeans+tts_tabular_t5_a1,1,16,0,25.646551724137932
kmeans+tts_tabular_t5_a1,1,16,1,78.93333333333334
kmeans+tts_tabular_t5_a1,1,17,0,25.646551724137932
kmeans+tts_tabular_t5_a1,1,17,1,79.86666666666666
kmeans+tts_tabular_t5_a1,1,18,0,22.629310344827587
kmeans+tts_tabular_t5_a1,1,18,1,79.6
kmeans+tts_tabular_t5_a1,1,19,0,20.905172413793103
kmeans+tts_tabular_t5_a1,1,19,1,80.93333333333334
kmeans+tts_tabular_t5_a1,1,20,0,18.31896551724138
kmeans+tts_tabular_t5_a1,1,20,1,80.66666666666667
kmeans+tts_tabular_t5_a1,1,21,0,17.13362068965517
kmeans+tts_tabular_t5_a1,1,21,1,82.13333333333334
kmeans+tts_tabular_t5_a1,1,22,0,14.655172413793103
kmeans+tts_tabular_t5_a1,1,22,1,82.53333333333333
kmeans+tts_tabular_t5_a1,1,23,0,14.762931034482758
kmeans+tts_tabular_t5_a1,1,23,1,82.4
kmeans+tts_tabular_t5_a1,1,24,0,13.469827586206897
kmeans+tts_tabular_t5_a1,1,24,1,82.13333333333334
kmeans+tts_tabular_t5_a1,1,25,0,13.362068965517242
kmeans+tts_tabular_t5_a1,1,25,1,81.86666666666666
kmeans+tts_tabular_t5_a1,1,26,0,11.422413793103448
kmeans+tts_tabular_t5_a1,1,26,1,82.66666666666667
kmeans+tts_tabular_t5_a1,1,27,0,12.28448275862069
kmeans+tts_tabular_t5_a1,1,27,1,82.53333333333333
kmeans+tts_tabular_t5_a1,1,28,0,11.422413793103448
kmeans+tts_tabular_t5_a1,1,28,1,82.53333333333333
kmeans+tts_tabular_t5_a1,1,29,0,9.051724137931034
kmeans+tts_tabular_t5_a1,1,29,1,83.06666666666666
kmeans+tts_tabular_t5_a1,1,30,0,8.189655172413794
kmeans+tts_tabular_t5_a1,1,30,1,83.46666666666667
kmeans+tts_tabular_t5_a1,1,31,0,6.896551724137931
kmeans+tts_tabular_t5_a1,1,31,1,83.6
kmeans+tts_tabular_t5_a1,1,32,0,6.357758620689655
kmeans+tts_tabular_t5_a1,1,32,1,83.73333333333333
kmeans+tts_tabular_t5_a1,1,33,0,6.896551724137931
kmeans+tts_tabular_t5_a1,1,33,1,83.73333333333333
kmeans+tts_tabular_t5_a1,1,34,0,7.866379310344827
kmeans+tts_tabular_t5_a1,1,34,1,84.4
kmeans+tts_tabular_t5_a1,1,35,0,7.219827586206897
kmeans+tts_tabular_t5_a1,1,35,1,84.4
kmeans+tts_tabular_t5_a1,1,36,0,6.142241379310345
kmeans+tts_tabular_t5_a1,1,36,1,84.4
kmeans+tts_tabular_t5_a1,1,37,0,5.280172413793103
kmeans+tts_tabular_t5_a1,1,37,1,84.53333333333333
kmeans+tts_tabular_t5_a1,1,38,0,5.172413793103448
kmeans+tts_tabular_t5_a1,1,38,1,85.06666666666666
kmeans+tts_tabular_t5_a1,1,39,0,4.849137931034483
kmeans+tts_tabular_t5_a1,1,39,1,85.06666666666666
kmeans+tts_tabular_t5_a1,1,40,0,5.603448275862069
kmeans+tts_tabular_t5_a1,1,40,1,85.06666666666666
kmeans+tts_tabular_t5_a1,1,41,0,4.310344827586207
kmeans+tts_tabular_t5_a1,1,41,1,85.73333333333333
kmeans+tts_tabular_t5_a1,1,42,0,5.387931034482759
kmeans+tts_tabular_t5_a1,1,42,1,85.6
kmeans+tts_tabular_t5_a1,1,43,0,4.094827586206897
kmeans+tts_tabular_t5_a1,1,43,1,86.0
kmeans+tts_tabular_t5_a1,1,44,0,4.310344827586207
kmeans+tts_tabular_t5_a1,1,44,1,85.86666666666666
kmeans+tts_tabular_t5_a1,1,45,0,3.125
kmeans+tts_tabular_t5_a1,1,45,1,86.26666666666667
kmeans+tts_tabular_t5_a1,1,46,0,3.0172413793103448
kmeans+tts_tabular_t5_a1,1,46,1,86.53333333333333
kmeans+tts_tabular_t5_a1,1,47,0,2.586206896551724
kmeans+tts_tabular_t5_a1,1,47,1,86.26666666666667
kmeans+tts_tabular_t5_a1,1,48,0,1.831896551724138
kmeans+tts_tabular_t5_a1,1,48,1,86.26666666666667
kmeans+tts_tabular_t5_a1,1,49,0,1.831896551724138
kmeans+tts_tabular_t5_a1,1,49,1,86.4
kmeans+tts_tabular_t5_a1,1,50,0,1.6163793103448276
kmeans+tts_tabular_t5_a1,1,50,1,86.8
kmeans+tts_tabular_t5_a1,1,51,0,1.293103448275862
kmeans+tts_tabular_t5_a1,1,51,1,86.53333333333333
kmeans+tts_tabular_t5_a1,1,52,0,1.1853448275862069
kmeans+tts_tabular_t5_a1,1,52,1,86.66666666666667
kmeans+tts_tabular_t5_a1,1,53,0,2.0474137931034484
kmeans+tts_tabular_t5_a1,1,53,1,86.93333333333334
kmeans+tts_tabular_t5_a1,1,54,0,1.6163793103448276
kmeans+tts_tabular_t5_a1,1,54,1,86.93333333333334
kmeans+tts_tabular_t5_a1,1,55,0,2.2629310344827585
kmeans+tts_tabular_t5_a1,1,55,1,87.06666666666666
kmeans+tts_tabular_t5_a1,1,56,0,2.0474137931034484
kmeans+tts_tabular_t5_a1,1,56,1,87.06666666666666
kmeans+tts_tabular_t5_a1,1,57,0,1.293103448275862
kmeans+tts_tabular_t5_a1,1,57,1,87.2
kmeans+tts_tabular_t5_a1,1,58,0,1.4008620689655173
kmeans+tts_tabular_t5_a1,1,58,1,87.2
kmeans+tts_tabular_t5_a1,1,59,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,59,1,87.33333333333333
kmeans+tts_tabular_t5_a1,1,60,0,1.293103448275862
kmeans+tts_tabular_t5_a1,1,60,1,87.6
kmeans+tts_tabular_t5_a1,1,61,0,1.0775862068965518
kmeans+tts_tabular_t5_a1,1,61,1,87.46666666666667
kmeans+tts_tabular_t5_a1,1,62,0,1.0775862068965518
kmeans+tts_tabular_t5_a1,1,62,1,87.86666666666666
kmeans+tts_tabular_t5_a1,1,63,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,63,1,88.13333333333334
kmeans+tts_tabular_t5_a1,1,64,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,64,1,88.4
kmeans+tts_tabular_t5_a1,1,65,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,65,1,88.13333333333334
kmeans+tts_tabular_t5_a1,1,66,0,1.0775862068965518
kmeans+tts_tabular_t5_a1,1,66,1,88.13333333333334
kmeans+tts_tabular_t5_a1,1,67,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,67,1,88.13333333333334
kmeans+tts_tabular_t5_a1,1,68,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,68,1,88.26666666666667
kmeans+tts_tabular_t5_a1,1,69,0,1.1853448275862069
kmeans+tts_tabular_t5_a1,1,69,1,88.4
kmeans+tts_tabular_t5_a1,1,70,0,1.0775862068965518
kmeans+tts_tabular_t5_a1,1,70,1,88.26666666666667
kmeans+tts_tabular_t5_a1,1,71,0,0.9698275862068966
kmeans+tts_tabular_t5_a1,1,71,1,88.13333333333334
