Method,Train_Task,Round,Eval_Task,Accuracy
none_tabular_t3_a1,0,1,0,41.34685010861694
none_tabular_t3_a1,0,2,0,58.07385952208544
none_tabular_t3_a1,0,3,0,69.08037653874004
none_tabular_t3_a1,0,4,0,73.85952208544533
none_tabular_t3_a1,0,5,0,77.19044170890659
none_tabular_t3_a1,0,6,0,79.29036929761043
none_tabular_t3_a1,0,7,0,81.17306299782766
none_tabular_t3_a1,0,8,0,81.53511947863866
none_tabular_t3_a1,0,9,0,82.47646632874728
none_tabular_t3_a1,0,10,0,83.20057929036929
none_tabular_t3_a1,0,11,0,84.06951484431572
none_tabular_t3_a1,0,12,0,84.43157132512673
none_tabular_t3_a1,0,13,0,84.93845039826213
none_tabular_t3_a1,0,14,0,85.44532947139754
none_tabular_t3_a1,0,15,0,85.66256335988415
none_tabular_t3_a1,0,16,0,86.31426502534396
none_tabular_t3_a1,0,17,0,86.60391020999276
none_tabular_t3_a1,0,18,0,87.25561187545257
none_tabular_t3_a1,0,19,0,87.25561187545257
none_tabular_t3_a1,0,20,0,87.61766835626358
none_tabular_t3_a1,0,21,0,88.12454742939899
none_tabular_t3_a1,0,22,0,88.48660391021
none_tabular_t3_a1,0,23,0,88.48660391021
none_tabular_t3_a1,0,24,0,88.9210716871832
none_tabular_t3_a1,0,25,0,89.2831281679942
none_tabular_t3_a1,0,26,0,89.210716871832
none_tabular_t3_a1,0,27,0,89.64518464880521
none_tabular_t3_a1,0,28,0,89.71759594496741
none_tabular_t3_a1,0,29,0,90.07965242577842
none_tabular_t3_a1,0,30,0,90.07965242577842
none_tabular_t3_a1,0,31,0,90.51412020275163
none_tabular_t3_a1,0,32,0,90.94858797972483
none_tabular_t3_a1,0,33,0,90.80376538740043
none_tabular_t3_a1,0,34,0,91.09341057204924
none_tabular_t3_a1,0,35,0,91.16582186821144
none_tabular_t3_a1,0,36,0,91.16582186821144
none_tabular_t3_a1,0,37,0,91.38305575669804
none_tabular_t3_a1,0,38,0,91.74511223750905
none_tabular_t3_a1,0,39,0,91.96234612599565
none_tabular_t3_a1,0,40,0,91.96234612599565
none_tabular_t3_a1,0,41,0,91.96234612599565
none_tabular_t3_a1,0,42,0,92.25199131064446
none_tabular_t3_a1,0,43,0,92.25199131064446
none_tabular_t3_a1,0,44,0,92.17958001448226
none_tabular_t3_a1,0,45,0,92.39681390296886
none_tabular_t3_a1,0,46,0,92.39681390296886
none_tabular_t3_a1,0,47,0,92.46922519913106
none_tabular_t3_a1,0,48,0,92.54163649529326
none_tabular_t3_a1,0,49,0,92.75887038377986
none_tabular_t3_a1,0,50,0,92.75887038377986
none_tabular_t3_a1,0,51,0,92.54163649529326
none_tabular_t3_a1,0,52,0,92.83128167994207
none_tabular_t3_a1,0,53,0,92.83128167994207
none_tabular_t3_a1,0,54,0,92.97610427226647
none_tabular_t3_a1,0,55,0,93.12092686459087
none_tabular_t3_a1,0,56,0,92.97610427226647
none_tabular_t3_a1,0,57,0,93.26574945691527
none_tabular_t3_a1,0,58,0,92.97610427226647
none_tabular_t3_a1,0,59,0,93.26574945691527
none_tabular_t3_a1,0,60,0,93.33816075307747
none_tabular_t3_a1,0,61,0,93.19333816075307
