Method,Train_Task,Round,Eval_Task,Accuracy
none_tabular_t5_a0.5,0,1,0,41.05603448275862
none_tabular_t5_a0.5,0,2,0,53.87931034482759
none_tabular_t5_a0.5,0,3,0,64.00862068965517
none_tabular_t5_a0.5,0,4,0,72.73706896551724
none_tabular_t5_a0.5,0,5,0,78.55603448275862
none_tabular_t5_a0.5,0,6,0,80.60344827586206
none_tabular_t5_a0.5,0,7,0,82.86637931034483
none_tabular_t5_a0.5,0,8,0,84.59051724137932
none_tabular_t5_a0.5,0,9,0,86.3146551724138
none_tabular_t5_a0.5,0,10,0,87.06896551724138
none_tabular_t5_a0.5,0,11,0,87.93103448275862
none_tabular_t5_a0.5,0,12,0,88.46982758620689
none_tabular_t5_a0.5,0,13,0,89.65517241379311
none_tabular_t5_a0.5,0,14,0,89.76293103448276
none_tabular_t5_a0.5,0,15,0,90.19396551724138
none_tabular_t5_a0.5,0,16,0,90.19396551724138
none_tabular_t5_a0.5,0,17,0,90.625
none_tabular_t5_a0.5,0,18,0,90.625
none_tabular_t5_a0.5,0,19,0,90.84051724137932
none_tabular_t5_a0.5,0,20,0,91.16379310344827
none_tabular_t5_a0.5,0,21,0,91.27155172413794
none_tabular_t5_a0.5,0,22,0,91.59482758620689
none_tabular_t5_a0.5,0,23,0,91.59482758620689
none_tabular_t5_a0.5,0,24,0,91.8103448275862
none_tabular_t5_a0.5,0,25,0,91.70258620689656
none_tabular_t5_a0.5,0,26,0,91.91810344827586
none_tabular_t5_a0.5,0,27,0,91.91810344827586
none_tabular_t5_a0.5,0,28,0,92.13362068965517
none_tabular_t5_a0.5,0,29,0,92.67241379310344
none_tabular_t5_a0.5,0,30,0,92.88793103448276
none_tabular_t5_a0.5,0,31,0,92.67241379310344
none_tabular_t5_a0.5,0,32,0,92.99568965517241
none_tabular_t5_a0.5,0,33,0,92.88793103448276
none_tabular_t5_a0.5,0,34,0,93.10344827586206
none_tabular_t5_a0.5,0,35,0,93.21120689655173
none_tabular_t5_a0.5,0,36,0,93.31896551724138
none_tabular_t5_a0.5,0,37,0,93.31896551724138
none_tabular_t5_a0.5,0,38,0,93.31896551724138
none_tabular_t5_a0.5,0,39,0,93.31896551724138
none_tabular_t5_a0.5,0,40,0,93.53448275862068
none_tabular_t5_a0.5,0,41,0,93.42672413793103
none_tabular_t5_a0.5,0,42,0,93.42672413793103
none_tabular_t5_a0.5,0,43,0,93.85775862068965
none_tabular_t5_a0.5,0,44,0,93.96551724137932
none_tabular_t5_a0.5,0,45,0,94.07327586206897
none_tabular_t5_a0.5,0,46,0,94.18103448275862
none_tabular_t5_a0.5,0,47,0,94.28879310344827
none_tabular_t5_a0.5,0,48,0,94.50431034482759
none_tabular_t5_a0.5,0,49,0,94.50431034482759
none_tabular_t5_a0.5,0,50,0,94.39655172413794
none_tabular_t5_a0.5,0,51,0,94.71982758620689
none_tabular_t5_a0.5,0,52,0,94.71982758620689
none_tabular_t5_a0.5,0,53,0,94.82758620689656
none_tabular_t5_a0.5,0,54,0,94.82758620689656
none_tabular_t5_a0.5,0,55,0,94.9353448275862
none_tabular_t5_a0.5,0,56,0,94.9353448275862
none_tabular_t5_a0.5,0,57,0,95.04310344827586
none_tabular_t5_a0.5,0,58,0,95.04310344827586
none_tabular_t5_a0.5,0,59,0,95.15086206896552
none_tabular_t5_a0.5,0,60,0,95.15086206896552
none_tabular_t5_a0.5,0,61,0,94.9353448275862
none_tabular_t5_a0.5,0,62,0,94.9353448275862
none_tabular_t5_a0.5,0,63,0,94.9353448275862
none_tabular_t5_a0.5,0,64,0,95.04310344827586
none_tabular_t5_a0.5,0,65,0,95.15086206896552
none_tabular_t5_a0.5,0,66,0,95.25862068965517
none_tabular_t5_a0.5,0,67,0,95.25862068965517
none_tabular_t5_a0.5,0,68,0,95.47413793103448
none_tabular_t5_a0.5,0,69,0,95.47413793103448
none_tabular_t5_a0.5,0,70,0,95.47413793103448
none_tabular_t5_a0.5,0,71,0,95.36637931034483
none_tabular_t5_a0.5,0,72,0,95.47413793103448
none_tabular_t5_a0.5,0,73,0,95.47413793103448
none_tabular_t5_a0.5,0,74,0,95.6896551724138
none_tabular_t5_a0.5,0,75,0,95.6896551724138
none_tabular_t5_a0.5,0,76,0,95.6896551724138
none_tabular_t5_a0.5,0,77,0,95.6896551724138
none_tabular_t5_a0.5,0,78,0,95.6896551724138
none_tabular_t5_a0.5,0,79,0,95.6896551724138
none_tabular_t5_a0.5,0,80,0,95.6896551724138
none_tabular_t5_a0.5,0,81,0,95.6896551724138
none_tabular_t5_a0.5,0,82,0,95.6896551724138
none_tabular_t5_a0.5,0,83,0,95.6896551724138
none_tabular_t5_a0.5,0,84,0,95.6896551724138
none_tabular_t5_a0.5,0,85,0,95.79741379310344
none_tabular_t5_a0.5,0,86,0,95.79741379310344
none_tabular_t5_a0.5,0,87,0,95.79741379310344
none_tabular_t5_a0.5,0,88,0,95.6896551724138
none_tabular_t5_a0.5,0,89,0,95.47413793103448
none_tabular_t5_a0.5,0,90,0,95.58189655172414
none_tabular_t5_a0.5,0,91,0,95.47413793103448
none_tabular_t5_a0.5,0,92,0,95.47413793103448
none_tabular_t5_a0.5,0,93,0,95.58189655172414
none_tabular_t5_a0.5,0,94,0,95.6896551724138
none_tabular_t5_a0.5,0,95,0,95.6896551724138
none_tabular_t5_a0.5,0,96,0,95.6896551724138
none_tabular_t5_a0.5,0,97,0,95.79741379310344
none_tabular_t5_a0.5,0,98,0,95.58189655172414
none_tabular_t5_a0.5,0,99,0,95.79741379310344
none_tabular_t5_a0.5,0,100,0,95.79741379310344
none_tabular_t5_a0.5,1,1,0,95.79741379310344
none_tabular_t5_a0.5,1,1,1,0.0
none_tabular_t5_a0.5,1,2,0,95.36637931034483
none_tabular_t5_a0.5,1,2,1,0.0
none_tabular_t5_a0.5,1,3,0,94.9353448275862
none_tabular_t5_a0.5,1,3,1,0.0
none_tabular_t5_a0.5,1,4,0,94.71982758620689
none_tabular_t5_a0.5,1,4,1,16.666666666666668
none_tabular_t5_a0.5,1,5,0,87.71551724137932
none_tabular_t5_a0.5,1,5,1,48.53333333333333
none_tabular_t5_a0.5,1,6,0,69.82758620689656
none_tabular_t5_a0.5,1,6,1,65.33333333333333
none_tabular_t5_a0.5,1,7,0,53.98706896551724
none_tabular_t5_a0.5,1,7,1,73.2
none_tabular_t5_a0.5,1,8,0,43.53448275862069
none_tabular_t5_a0.5,1,8,1,77.2
none_tabular_t5_a0.5,1,9,0,35.23706896551724
none_tabular_t5_a0.5,1,9,1,78.53333333333333
none_tabular_t5_a0.5,1,10,0,27.801724137931036
none_tabular_t5_a0.5,1,10,1,80.0
none_tabular_t5_a0.5,1,11,0,22.737068965517242
none_tabular_t5_a0.5,1,11,1,81.6
none_tabular_t5_a0.5,1,12,0,20.04310344827586
none_tabular_t5_a0.5,1,12,1,82.8
none_tabular_t5_a0.5,1,13,0,16.91810344827586
none_tabular_t5_a0.5,1,13,1,82.8
none_tabular_t5_a0.5,1,14,0,15.193965517241379
none_tabular_t5_a0.5,1,14,1,83.73333333333333
none_tabular_t5_a0.5,1,15,0,13.254310344827585
none_tabular_t5_a0.5,1,15,1,84.4
none_tabular_t5_a0.5,1,16,0,11.85344827586207
none_tabular_t5_a0.5,1,16,1,84.53333333333333
none_tabular_t5_a0.5,1,17,0,9.806034482758621
none_tabular_t5_a0.5,1,17,1,85.06666666666666
none_tabular_t5_a0.5,1,18,0,8.72844827586207
none_tabular_t5_a0.5,1,18,1,85.33333333333333
none_tabular_t5_a0.5,1,19,0,7.435344827586207
none_tabular_t5_a0.5,1,19,1,85.86666666666666
none_tabular_t5_a0.5,1,20,0,6.573275862068965
none_tabular_t5_a0.5,1,20,1,86.4
none_tabular_t5_a0.5,1,21,0,5.818965517241379
none_tabular_t5_a0.5,1,21,1,86.8
none_tabular_t5_a0.5,1,22,0,4.849137931034483
none_tabular_t5_a0.5,1,22,1,86.93333333333334
none_tabular_t5_a0.5,1,23,0,4.094827586206897
none_tabular_t5_a0.5,1,23,1,87.06666666666666
none_tabular_t5_a0.5,1,24,0,3.5560344827586206
none_tabular_t5_a0.5,1,24,1,87.2
none_tabular_t5_a0.5,1,25,0,2.8017241379310347
none_tabular_t5_a0.5,1,25,1,87.73333333333333
none_tabular_t5_a0.5,1,26,0,2.3706896551724137
none_tabular_t5_a0.5,1,26,1,87.6
none_tabular_t5_a0.5,1,27,0,2.0474137931034484
none_tabular_t5_a0.5,1,27,1,87.86666666666666
none_tabular_t5_a0.5,1,28,0,1.9396551724137931
none_tabular_t5_a0.5,1,28,1,87.73333333333333
none_tabular_t5_a0.5,1,29,0,1.4008620689655173
none_tabular_t5_a0.5,1,29,1,88.13333333333334
none_tabular_t5_a0.5,1,30,0,1.0775862068965518
none_tabular_t5_a0.5,1,30,1,88.53333333333333
none_tabular_t5_a0.5,1,31,0,0.5387931034482759
none_tabular_t5_a0.5,1,31,1,88.53333333333333
none_tabular_t5_a0.5,1,32,0,0.5387931034482759
none_tabular_t5_a0.5,1,32,1,88.53333333333333
none_tabular_t5_a0.5,1,33,0,0.43103448275862066
none_tabular_t5_a0.5,1,33,1,88.66666666666667
none_tabular_t5_a0.5,1,34,0,0.10775862068965517
none_tabular_t5_a0.5,1,34,1,88.8
none_tabular_t5_a0.5,1,35,0,0.0
none_tabular_t5_a0.5,1,35,1,88.93333333333334
none_tabular_t5_a0.5,1,36,0,0.0
none_tabular_t5_a0.5,1,36,1,89.33333333333333
none_tabular_t5_a0.5,1,37,0,0.0
none_tabular_t5_a0.5,1,37,1,89.33333333333333
none_tabular_t5_a0.5,1,38,0,0.0
none_tabular_t5_a0.5,1,38,1,89.46666666666667
none_tabular_t5_a0.5,1,39,0,0.0
none_tabular_t5_a0.5,1,39,1,89.46666666666667
none_tabular_t5_a0.5,1,40,0,0.0
none_tabular_t5_a0.5,1,40,1,89.6
none_tabular_t5_a0.5,1,41,0,0.0
none_tabular_t5_a0.5,1,41,1,89.6
none_tabular_t5_a0.5,1,42,0,0.0
none_tabular_t5_a0.5,1,42,1,89.6
none_tabular_t5_a0.5,1,43,0,0.0
none_tabular_t5_a0.5,1,43,1,89.73333333333333
none_tabular_t5_a0.5,1,44,0,0.0
none_tabular_t5_a0.5,1,44,1,89.86666666666666
none_tabular_t5_a0.5,1,45,0,0.0
none_tabular_t5_a0.5,1,45,1,89.86666666666666
none_tabular_t5_a0.5,1,46,0,0.0
none_tabular_t5_a0.5,1,46,1,89.86666666666666
none_tabular_t5_a0.5,1,47,0,0.0
none_tabular_t5_a0.5,1,47,1,90.13333333333334
none_tabular_t5_a0.5,1,48,0,0.0
none_tabular_t5_a0.5,1,48,1,90.4
none_tabular_t5_a0.5,1,49,0,0.0
none_tabular_t5_a0.5,1,49,1,90.26666666666667
none_tabular_t5_a0.5,1,50,0,0.0
none_tabular_t5_a0.5,1,50,1,90.4
none_tabular_t5_a0.5,1,51,0,0.0
none_tabular_t5_a0.5,1,51,1,90.26666666666667
none_tabular_t5_a0.5,1,52,0,0.0
none_tabular_t5_a0.5,1,52,1,90.26666666666667
none_tabular_t5_a0.5,1,53,0,0.0
none_tabular_t5_a0.5,1,53,1,90.8
none_tabular_t5_a0.5,1,54,0,0.0
none_tabular_t5_a0.5,1,54,1,90.4
none_tabular_t5_a0.5,1,55,0,0.0
none_tabular_t5_a0.5,1,55,1,90.66666666666667
none_tabular_t5_a0.5,1,56,0,0.0
none_tabular_t5_a0.5,1,56,1,90.8
none_tabular_t5_a0.5,1,57,0,0.0
none_tabular_t5_a0.5,1,57,1,90.93333333333334
none_tabular_t5_a0.5,1,58,0,0.0
none_tabular_t5_a0.5,1,58,1,90.93333333333334
none_tabular_t5_a0.5,1,59,0,0.0
none_tabular_t5_a0.5,1,59,1,90.93333333333334
none_tabular_t5_a0.5,1,60,0,0.0
none_tabular_t5_a0.5,1,60,1,91.06666666666666
none_tabular_t5_a0.5,1,61,0,0.0
none_tabular_t5_a0.5,1,61,1,91.2
none_tabular_t5_a0.5,1,62,0,0.0
none_tabular_t5_a0.5,1,62,1,91.46666666666667
none_tabular_t5_a0.5,1,63,0,0.0
none_tabular_t5_a0.5,1,63,1,91.46666666666667
none_tabular_t5_a0.5,1,64,0,0.0
none_tabular_t5_a0.5,1,64,1,91.6
none_tabular_t5_a0.5,1,65,0,0.0
none_tabular_t5_a0.5,1,65,1,91.46666666666667
none_tabular_t5_a0.5,1,66,0,0.0
none_tabular_t5_a0.5,1,66,1,91.33333333333333
none_tabular_t5_a0.5,1,67,0,0.0
none_tabular_t5_a0.5,1,67,1,91.46666666666667
none_tabular_t5_a0.5,1,68,0,0.0
none_tabular_t5_a0.5,1,68,1,91.73333333333333
none_tabular_t5_a0.5,1,69,0,0.0
none_tabular_t5_a0.5,1,69,1,91.73333333333333
none_tabular_t5_a0.5,1,70,0,0.0
none_tabular_t5_a0.5,1,70,1,91.73333333333333
none_tabular_t5_a0.5,1,71,0,0.0
none_tabular_t5_a0.5,1,71,1,91.73333333333333
none_tabular_t5_a0.5,1,72,0,0.0
none_tabular_t5_a0.5,1,72,1,91.73333333333333
none_tabular_t5_a0.5,1,73,0,0.0
none_tabular_t5_a0.5,1,73,1,92.0
none_tabular_t5_a0.5,1,74,0,0.0
none_tabular_t5_a0.5,1,74,1,91.86666666666666
none_tabular_t5_a0.5,1,75,0,0.0
none_tabular_t5_a0.5,1,75,1,92.0
none_tabular_t5_a0.5,1,76,0,0.0
none_tabular_t5_a0.5,1,76,1,92.0
none_tabular_t5_a0.5,1,77,0,0.0
none_tabular_t5_a0.5,1,77,1,92.13333333333334
none_tabular_t5_a0.5,1,78,0,0.0
none_tabular_t5_a0.5,1,78,1,92.0
none_tabular_t5_a0.5,1,79,0,0.0
none_tabular_t5_a0.5,1,79,1,92.13333333333334
none_tabular_t5_a0.5,1,80,0,0.0
none_tabular_t5_a0.5,1,80,1,92.13333333333334
none_tabular_t5_a0.5,1,81,0,0.0
none_tabular_t5_a0.5,1,81,1,92.13333333333334
none_tabular_t5_a0.5,1,82,0,0.0
none_tabular_t5_a0.5,1,82,1,92.13333333333334
none_tabular_t5_a0.5,1,83,0,0.0
none_tabular_t5_a0.5,1,83,1,92.26666666666667
none_tabular_t5_a0.5,1,84,0,0.0
none_tabular_t5_a0.5,1,84,1,92.26666666666667
none_tabular_t5_a0.5,1,85,0,0.0
none_tabular_t5_a0.5,1,85,1,92.13333333333334
none_tabular_t5_a0.5,1,86,0,0.0
none_tabular_t5_a0.5,1,86,1,92.26666666666667
none_tabular_t5_a0.5,1,87,0,0.0
none_tabular_t5_a0.5,1,87,1,92.26666666666667
none_tabular_t5_a0.5,1,88,0,0.0
none_tabular_t5_a0.5,1,88,1,92.26666666666667
none_tabular_t5_a0.5,1,89,0,0.0
none_tabular_t5_a0.5,1,89,1,92.26666666666667
none_tabular_t5_a0.5,1,90,0,0.0
none_tabular_t5_a0.5,1,90,1,92.26666666666667
none_tabular_t5_a0.5,1,91,0,0.0
none_tabular_t5_a0.5,1,91,1,92.26666666666667
none_tabular_t5_a0.5,1,92,0,0.0
none_tabular_t5_a0.5,1,92,1,92.26666666666667
none_tabular_t5_a0.5,1,93,0,0.0
none_tabular_t5_a0.5,1,93,1,92.26666666666667
none_tabular_t5_a0.5,1,94,0,0.0
none_tabular_t5_a0.5,1,94,1,92.4
none_tabular_t5_a0.5,1,95,0,0.0
none_tabular_t5_a0.5,1,95,1,92.53333333333333
none_tabular_t5_a0.5,1,96,0,0.0
none_tabular_t5_a0.5,1,96,1,92.26666666666667
none_tabular_t5_a0.5,1,97,0,0.0
none_tabular_t5_a0.5,1,97,1,92.4
none_tabular_t5_a0.5,1,98,0,0.0
none_tabular_t5_a0.5,1,98,1,92.4
none_tabular_t5_a0.5,1,99,0,0.0
none_tabular_t5_a0.5,1,99,1,92.53333333333333
none_tabular_t5_a0.5,1,100,0,0.0
none_tabular_t5_a0.5,1,100,1,92.53333333333333
none_tabular_t5_a0.5,2,1,0,0.0
none_tabular_t5_a0.5,2,1,1,92.4
none_tabular_t5_a0.5,2,1,2,0.0
none_tabular_t5_a0.5,2,2,0,0.0
none_tabular_t5_a0.5,2,2,1,90.66666666666667
none_tabular_t5_a0.5,2,2,2,0.0
none_tabular_t5_a0.5,2,3,0,0.8620689655172413
none_tabular_t5_a0.5,2,3,1,89.6
none_tabular_t5_a0.5,2,3,2,15.295629820051413
none_tabular_t5_a0.5,2,4,0,0.8620689655172413
none_tabular_t5_a0.5,2,4,1,83.86666666666666
none_tabular_t5_a0.5,2,4,2,34.96143958868895
none_tabular_t5_a0.5,2,5,0,1.9396551724137931
none_tabular_t5_a0.5,2,5,1,62.53333333333333
none_tabular_t5_a0.5,2,5,2,59.12596401028278
none_tabular_t5_a0.5,2,6,0,0.8620689655172413
none_tabular_t5_a0.5,2,6,1,44.0
none_tabular_t5_a0.5,2,6,2,78.7917737789203
none_tabular_t5_a0.5,2,7,0,0.10775862068965517
none_tabular_t5_a0.5,2,7,1,27.2
none_tabular_t5_a0.5,2,7,2,84.96143958868895
none_tabular_t5_a0.5,2,8,0,0.0
none_tabular_t5_a0.5,2,8,1,17.066666666666666
none_tabular_t5_a0.5,2,8,2,88.30334190231362
none_tabular_t5_a0.5,2,9,0,0.0
none_tabular_t5_a0.5,2,9,1,10.8
none_tabular_t5_a0.5,2,9,2,89.97429305912597
none_tabular_t5_a0.5,2,10,0,0.0
none_tabular_t5_a0.5,2,10,1,8.533333333333333
none_tabular_t5_a0.5,2,10,2,90.61696658097686
none_tabular_t5_a0.5,2,11,0,0.0
none_tabular_t5_a0.5,2,11,1,6.933333333333334
none_tabular_t5_a0.5,2,11,2,91.6452442159383
none_tabular_t5_a0.5,2,12,0,0.0
none_tabular_t5_a0.5,2,12,1,6.0
none_tabular_t5_a0.5,2,12,2,91.90231362467867
none_tabular_t5_a0.5,2,13,0,0.0
none_tabular_t5_a0.5,2,13,1,4.933333333333334
none_tabular_t5_a0.5,2,13,2,91.90231362467867
none_tabular_t5_a0.5,2,14,0,0.0
none_tabular_t5_a0.5,2,14,1,3.466666666666667
none_tabular_t5_a0.5,2,14,2,92.03084832904884
none_tabular_t5_a0.5,2,15,0,0.0
none_tabular_t5_a0.5,2,15,1,2.8
none_tabular_t5_a0.5,2,15,2,92.41645244215938
none_tabular_t5_a0.5,2,16,0,0.0
none_tabular_t5_a0.5,2,16,1,2.0
none_tabular_t5_a0.5,2,16,2,92.67352185089975
none_tabular_t5_a0.5,2,17,0,0.0
none_tabular_t5_a0.5,2,17,1,0.9333333333333333
none_tabular_t5_a0.5,2,17,2,93.18766066838046
