Method,Train_Task,Round,Eval_Task,Accuracy
random+tts_tabular_t10_a0.5,0,1,0,47.59825327510917
random+tts_tabular_t10_a0.5,0,2,0,70.52401746724891
random+tts_tabular_t10_a0.5,0,3,0,75.32751091703057
random+tts_tabular_t10_a0.5,0,4,0,81.00436681222708
random+tts_tabular_t10_a0.5,0,5,0,83.84279475982532
random+tts_tabular_t10_a0.5,0,6,0,86.8995633187773
random+tts_tabular_t10_a0.5,0,7,0,90.39301310043668
random+tts_tabular_t10_a0.5,0,8,0,93.23144104803494
random+tts_tabular_t10_a0.5,0,9,0,94.97816593886463
random+tts_tabular_t10_a0.5,0,10,0,96.72489082969432
random+tts_tabular_t10_a0.5,0,11,0,96.72489082969432
random+tts_tabular_t10_a0.5,0,12,0,96.72489082969432
random+tts_tabular_t10_a0.5,0,13,0,96.94323144104804
random+tts_tabular_t10_a0.5,0,14,0,96.94323144104804
random+tts_tabular_t10_a0.5,0,15,0,96.94323144104804
random+tts_tabular_t10_a0.5,0,16,0,96.94323144104804
random+tts_tabular_t10_a0.5,0,17,0,97.16157205240175
random+tts_tabular_t10_a0.5,0,18,0,97.16157205240175
random+tts_tabular_t10_a0.5,0,19,0,97.37991266375546
random+tts_tabular_t10_a0.5,0,20,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,21,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,22,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,23,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,24,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,25,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,26,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,27,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,28,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,29,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,30,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,31,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,32,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,33,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,34,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,35,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,36,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,37,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,38,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,39,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,40,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,41,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,42,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,43,0,97.59825327510917
random+tts_tabular_t10_a0.5,0,44,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,45,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,46,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,47,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,48,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,49,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,50,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,51,0,97.81659388646288
random+tts_tabular_t10_a0.5,0,52,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,53,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,54,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,55,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,56,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,57,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,58,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,59,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,60,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,61,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,62,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,63,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,64,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,65,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,66,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,67,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,68,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,69,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,70,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,71,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,72,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,73,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,74,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,75,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,76,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,77,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,78,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,79,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,80,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,81,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,82,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,83,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,84,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,85,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,86,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,87,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,88,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,89,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,90,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,91,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,92,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,93,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,94,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,95,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,96,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,97,0,98.0349344978166
random+tts_tabular_t10_a0.5,0,98,0,98.2532751091703
random+tts_tabular_t10_a0.5,0,99,0,98.2532751091703
random+tts_tabular_t10_a0.5,0,100,0,98.2532751091703
random+tts_tabular_t10_a0.5,1,1,0,96.94323144104804
random+tts_tabular_t10_a0.5,1,1,1,0.0
random+tts_tabular_t10_a0.5,1,2,0,98.47161572052401
random+tts_tabular_t10_a0.5,1,2,1,0.0
random+tts_tabular_t10_a0.5,1,3,0,98.68995633187772
random+tts_tabular_t10_a0.5,1,3,1,1.4893617021276595
random+tts_tabular_t10_a0.5,1,4,0,98.0349344978166
random+tts_tabular_t10_a0.5,1,4,1,27.23404255319149
random+tts_tabular_t10_a0.5,1,5,0,85.58951965065502
random+tts_tabular_t10_a0.5,1,5,1,44.04255319148936
random+tts_tabular_t10_a0.5,1,6,0,71.39737991266375
random+tts_tabular_t10_a0.5,1,6,1,61.06382978723404
random+tts_tabular_t10_a0.5,1,7,0,65.93886462882097
random+tts_tabular_t10_a0.5,1,7,1,65.1063829787234
random+tts_tabular_t10_a0.5,1,8,0,56.11353711790393
random+tts_tabular_t10_a0.5,1,8,1,68.08510638297872
random+tts_tabular_t10_a0.5,1,9,0,49.56331877729258
random+tts_tabular_t10_a0.5,1,9,1,71.06382978723404
random+tts_tabular_t10_a0.5,1,10,0,42.35807860262009
random+tts_tabular_t10_a0.5,1,10,1,72.97872340425532
random+tts_tabular_t10_a0.5,1,11,0,39.519650655021834
random+tts_tabular_t10_a0.5,1,11,1,76.38297872340425
random+tts_tabular_t10_a0.5,1,12,0,36.02620087336245
random+tts_tabular_t10_a0.5,1,12,1,78.51063829787235
random+tts_tabular_t10_a0.5,1,13,0,32.314410480349345
random+tts_tabular_t10_a0.5,1,13,1,80.85106382978724
random+tts_tabular_t10_a0.5,1,14,0,29.25764192139738
random+tts_tabular_t10_a0.5,1,14,1,83.19148936170212
random+tts_tabular_t10_a0.5,1,15,0,31.004366812227076
random+tts_tabular_t10_a0.5,1,15,1,86.59574468085107
random+tts_tabular_t10_a0.5,1,16,0,24.23580786026201
random+tts_tabular_t10_a0.5,1,16,1,87.44680851063829
random+tts_tabular_t10_a0.5,1,17,0,18.995633187772924
random+tts_tabular_t10_a0.5,1,17,1,88.29787234042553
random+tts_tabular_t10_a0.5,1,18,0,16.375545851528383
random+tts_tabular_t10_a0.5,1,18,1,89.57446808510639
random+tts_tabular_t10_a0.5,1,19,0,17.467248908296945
random+tts_tabular_t10_a0.5,1,19,1,91.06382978723404
random+tts_tabular_t10_a0.5,1,20,0,17.24890829694323
random+tts_tabular_t10_a0.5,1,20,1,91.27659574468085
random+tts_tabular_t10_a0.5,1,21,0,15.502183406113538
random+tts_tabular_t10_a0.5,1,21,1,92.12765957446808
