Method,Train_Task,Round,Eval_Task,Accuracy
random+tts_tabular_t3_a1,0,1,0,41.34685010861694
random+tts_tabular_t3_a1,0,2,0,57.639391745112235
random+tts_tabular_t3_a1,0,3,0,69.15278783490224
random+tts_tabular_t3_a1,0,4,0,74.00434467776974
random+tts_tabular_t3_a1,0,5,0,77.4800868935554
random+tts_tabular_t3_a1,0,6,0,79.00072411296162
random+tts_tabular_t3_a1,0,7,0,81.17306299782766
random+tts_tabular_t3_a1,0,8,0,81.96958725561187
random+tts_tabular_t3_a1,0,9,0,82.33164373642288
random+tts_tabular_t3_a1,0,10,0,83.05575669804489
random+tts_tabular_t3_a1,0,11,0,83.77986965966691
random+tts_tabular_t3_a1,0,12,0,84.43157132512673
random+tts_tabular_t3_a1,0,13,0,84.79362780593773
random+tts_tabular_t3_a1,0,14,0,85.30050687907314
random+tts_tabular_t3_a1,0,15,0,85.66256335988415
random+tts_tabular_t3_a1,0,16,0,86.02461984069515
random+tts_tabular_t3_a1,0,17,0,86.53149891383056
random+tts_tabular_t3_a1,0,18,0,86.74873280231716
random+tts_tabular_t3_a1,0,19,0,87.32802317161477
random+tts_tabular_t3_a1,0,20,0,88.05213613323679
random+tts_tabular_t3_a1,0,21,0,88.26937002172339
random+tts_tabular_t3_a1,0,22,0,88.41419261404779
random+tts_tabular_t3_a1,0,23,0,88.5590152063722
random+tts_tabular_t3_a1,0,24,0,88.9934829833454
random+tts_tabular_t3_a1,0,25,0,89.2831281679942
random+tts_tabular_t3_a1,0,26,0,89.210716871832
random+tts_tabular_t3_a1,0,27,0,89.50036205648081
random+tts_tabular_t3_a1,0,28,0,89.57277335264301
random+tts_tabular_t3_a1,0,29,0,89.86241853729182
random+tts_tabular_t3_a1,0,30,0,90.07965242577842
random+tts_tabular_t3_a1,0,31,0,90.44170890658943
random+tts_tabular_t3_a1,0,32,0,90.65894279507603
random+tts_tabular_t3_a1,0,33,0,90.87617668356263
random+tts_tabular_t3_a1,0,34,0,91.02099927588704
random+tts_tabular_t3_a1,0,35,0,91.23823316437364
random+tts_tabular_t3_a1,0,36,0,91.02099927588704
random+tts_tabular_t3_a1,0,37,0,91.23823316437364
random+tts_tabular_t3_a1,0,38,0,91.67270094134685
random+tts_tabular_t3_a1,0,39,0,91.74511223750905
random+tts_tabular_t3_a1,0,40,0,91.81752353367125
random+tts_tabular_t3_a1,0,41,0,91.74511223750905
random+tts_tabular_t3_a1,0,42,0,92.03475742215785
random+tts_tabular_t3_a1,0,43,0,91.96234612599565
random+tts_tabular_t3_a1,0,44,0,92.32440260680666
random+tts_tabular_t3_a1,0,45,0,92.61404779145546
random+tts_tabular_t3_a1,0,46,0,92.61404779145546
random+tts_tabular_t3_a1,0,47,0,92.54163649529326
random+tts_tabular_t3_a1,0,48,0,92.68645908761766
random+tts_tabular_t3_a1,0,49,0,92.83128167994207
random+tts_tabular_t3_a1,0,50,0,92.75887038377986
random+tts_tabular_t3_a1,0,51,0,92.68645908761766
random+tts_tabular_t3_a1,0,52,0,92.90369297610427
random+tts_tabular_t3_a1,0,53,0,92.97610427226647
random+tts_tabular_t3_a1,0,54,0,92.90369297610427
random+tts_tabular_t3_a1,0,55,0,92.97610427226647
random+tts_tabular_t3_a1,0,56,0,93.12092686459087
random+tts_tabular_t3_a1,0,57,0,93.19333816075307
random+tts_tabular_t3_a1,0,58,0,93.19333816075307
random+tts_tabular_t3_a1,0,59,0,93.41057204923968
random+tts_tabular_t3_a1,0,60,0,93.33816075307747
random+tts_tabular_t3_a1,0,61,0,93.33816075307747
random+tts_tabular_t3_a1,0,62,0,93.48298334540188
random+tts_tabular_t3_a1,0,63,0,93.41057204923968
random+tts_tabular_t3_a1,0,64,0,93.33816075307747
random+tts_tabular_t3_a1,0,65,0,93.33816075307747
random+tts_tabular_t3_a1,0,66,0,93.48298334540188
random+tts_tabular_t3_a1,0,67,0,93.62780593772628
random+tts_tabular_t3_a1,0,68,0,93.48298334540188
random+tts_tabular_t3_a1,0,69,0,93.55539464156408
random+tts_tabular_t3_a1,0,70,0,93.77262853005068
random+tts_tabular_t3_a1,0,71,0,93.70021723388848
random+tts_tabular_t3_a1,0,72,0,93.62780593772628
random+tts_tabular_t3_a1,0,73,0,93.62780593772628
random+tts_tabular_t3_a1,0,74,0,93.70021723388848
random+tts_tabular_t3_a1,0,75,0,93.77262853005068
random+tts_tabular_t3_a1,0,76,0,93.84503982621288
random+tts_tabular_t3_a1,0,77,0,93.98986241853729
random+tts_tabular_t3_a1,0,78,0,93.84503982621288
random+tts_tabular_t3_a1,0,79,0,93.84503982621288
random+tts_tabular_t3_a1,0,80,0,93.91745112237508
random+tts_tabular_t3_a1,0,81,0,93.91745112237508
random+tts_tabular_t3_a1,0,82,0,93.84503982621288
random+tts_tabular_t3_a1,0,83,0,93.77262853005068
random+tts_tabular_t3_a1,0,84,0,93.84503982621288
random+tts_tabular_t3_a1,0,85,0,93.91745112237508
random+tts_tabular_t3_a1,0,86,0,93.77262853005068
random+tts_tabular_t3_a1,0,87,0,93.84503982621288
random+tts_tabular_t3_a1,0,88,0,93.84503982621288
random+tts_tabular_t3_a1,0,89,0,93.84503982621288
random+tts_tabular_t3_a1,0,90,0,93.91745112237508
random+tts_tabular_t3_a1,0,91,0,93.91745112237508
random+tts_tabular_t3_a1,0,92,0,93.84503982621288
random+tts_tabular_t3_a1,0,93,0,93.91745112237508
random+tts_tabular_t3_a1,0,94,0,93.91745112237508
random+tts_tabular_t3_a1,0,95,0,94.06227371469949
random+tts_tabular_t3_a1,0,96,0,93.91745112237508
random+tts_tabular_t3_a1,0,97,0,93.98986241853729
random+tts_tabular_t3_a1,0,98,0,94.06227371469949
random+tts_tabular_t3_a1,0,99,0,94.06227371469949
random+tts_tabular_t3_a1,0,100,0,94.06227371469949
random+tts_tabular_t3_a1,1,1,0,87.11078928312817
random+tts_tabular_t3_a1,1,1,1,0.0
random+tts_tabular_t3_a1,1,2,0,90.44170890658943
random+tts_tabular_t3_a1,1,2,1,20.96890817064353
random+tts_tabular_t3_a1,1,3,0,79.86965966690803
random+tts_tabular_t3_a1,1,3,1,50.180766449746926
random+tts_tabular_t3_a1,1,4,0,71.10789283128167
random+tts_tabular_t3_a1,1,4,1,65.14822848879248
random+tts_tabular_t3_a1,1,5,0,62.92541636495293
random+tts_tabular_t3_a1,1,5,1,72.37888647866956
random+tts_tabular_t3_a1,1,6,0,59.087617668356266
random+tts_tabular_t3_a1,1,6,1,75.05422993492408
random+tts_tabular_t3_a1,1,7,0,55.4670528602462
random+tts_tabular_t3_a1,1,7,1,77.94649313087491
random+tts_tabular_t3_a1,1,8,0,48.443157132512674
random+tts_tabular_t3_a1,1,8,1,79.32031814895156
random+tts_tabular_t3_a1,1,9,0,44.5329471397538
random+tts_tabular_t3_a1,1,9,1,79.75415762834417
random+tts_tabular_t3_a1,1,10,0,36.56770456191166
random+tts_tabular_t3_a1,1,10,1,80.54953000723066
random+tts_tabular_t3_a1,1,11,0,33.1643736422882
random+tts_tabular_t3_a1,1,11,1,81.12798264642082
random+tts_tabular_t3_a1,1,12,0,32.512671976828386
random+tts_tabular_t3_a1,1,12,1,81.77874186550976
random+tts_tabular_t3_a1,1,13,0,28.819695872556117
random+tts_tabular_t3_a1,1,13,1,82.57411424439624
random+tts_tabular_t3_a1,1,14,0,25.56118754525706
random+tts_tabular_t3_a1,1,14,1,82.9356471438901
random+tts_tabular_t3_a1,1,15,0,22.519913106444605
random+tts_tabular_t3_a1,1,15,1,83.29718004338395
random+tts_tabular_t3_a1,1,16,0,24.112961622013035
random+tts_tabular_t3_a1,1,16,1,83.44179320318149
random+tts_tabular_t3_a1,1,17,0,21.216509775524983
random+tts_tabular_t3_a1,1,17,1,83.87563268257412
random+tts_tabular_t3_a1,1,18,0,19.261404779145547
random+tts_tabular_t3_a1,1,18,1,84.02024584237165
random+tts_tabular_t3_a1,1,19,0,16.7270094134685
random+tts_tabular_t3_a1,1,19,1,84.52639190166305
random+tts_tabular_t3_a1,1,20,0,17.451122375090513
random+tts_tabular_t3_a1,1,20,1,85.03253796095444
random+tts_tabular_t3_a1,1,21,0,16.799420709630702
random+tts_tabular_t3_a1,1,21,1,85.24945770065077
random+tts_tabular_t3_a1,1,22,0,15.423606082548877
random+tts_tabular_t3_a1,1,22,1,86.04483007953723
random+tts_tabular_t3_a1,1,23,0,17.451122375090513
random+tts_tabular_t3_a1,1,23,1,85.82791033984093
random+tts_tabular_t3_a1,1,24,0,14.047791455467053
random+tts_tabular_t3_a1,1,24,1,85.97252349963847
random+tts_tabular_t3_a1,1,25,0,13.830557566980449
random+tts_tabular_t3_a1,1,25,1,86.18944323933478
random+tts_tabular_t3_a1,1,26,0,13.758146270818248
random+tts_tabular_t3_a1,1,26,1,86.40636297903109
random+tts_tabular_t3_a1,1,27,0,13.975380159304851
random+tts_tabular_t3_a1,1,27,1,86.55097613882863
random+tts_tabular_t3_a1,1,28,0,13.975380159304851
random+tts_tabular_t3_a1,1,28,1,86.62328271872741
random+tts_tabular_t3_a1,1,29,0,12.309920347574222
random+tts_tabular_t3_a1,1,29,1,86.69558929862617
random+tts_tabular_t3_a1,1,30,0,11.296162201303403
random+tts_tabular_t3_a1,1,30,1,86.84020245842372
random+tts_tabular_t3_a1,1,31,0,11.006517016654598
random+tts_tabular_t3_a1,1,31,1,86.91250903832248
random+tts_tabular_t3_a1,1,32,0,10.934105720492397
random+tts_tabular_t3_a1,1,32,1,87.27404193781634
random+tts_tabular_t3_a1,1,33,0,11.151339608979
random+tts_tabular_t3_a1,1,33,1,87.27404193781634
random+tts_tabular_t3_a1,1,34,0,11.875452570601015
random+tts_tabular_t3_a1,1,34,1,86.91250903832248
random+tts_tabular_t3_a1,1,35,0,9.630702389572773
random+tts_tabular_t3_a1,1,35,1,87.34634851771511
random+tts_tabular_t3_a1,1,36,0,11.368573497465604
random+tts_tabular_t3_a1,1,36,1,87.34634851771511
random+tts_tabular_t3_a1,1,37,0,11.440984793627806
random+tts_tabular_t3_a1,1,37,1,87.34634851771511
random+tts_tabular_t3_a1,1,38,0,10.572049239681391
random+tts_tabular_t3_a1,1,38,1,87.49096167751266
random+tts_tabular_t3_a1,1,39,0,10.282404055032584
random+tts_tabular_t3_a1,1,39,1,87.49096167751266
random+tts_tabular_t3_a1,1,40,0,9.99275887038378
random+tts_tabular_t3_a1,1,40,1,87.99710773680405
random+tts_tabular_t3_a1,1,41,0,8.544532947139754
random+tts_tabular_t3_a1,1,41,1,87.85249457700651
random+tts_tabular_t3_a1,1,42,0,9.196234612599566
random+tts_tabular_t3_a1,1,42,1,87.85249457700651
random+tts_tabular_t3_a1,1,43,0,10.789283128167995
random+tts_tabular_t3_a1,1,43,1,88.1417208966016
random+tts_tabular_t3_a1,1,44,0,9.123823316437365
random+tts_tabular_t3_a1,1,44,1,88.21402747650036
random+tts_tabular_t3_a1,1,45,0,9.051412020275164
random+tts_tabular_t3_a1,1,45,1,88.3586406362979
random+tts_tabular_t3_a1,1,46,0,9.341057204923969
random+tts_tabular_t3_a1,1,46,1,88.72017353579176
random+tts_tabular_t3_a1,1,47,0,8.97900072411296
random+tts_tabular_t3_a1,1,47,1,88.79248011569052
random+tts_tabular_t3_a1,1,48,0,8.110065170166546
random+tts_tabular_t3_a1,1,48,1,88.57556037599421
random+tts_tabular_t3_a1,1,49,0,8.689355539464156
random+tts_tabular_t3_a1,1,49,1,88.79248011569052
random+tts_tabular_t3_a1,1,50,0,9.630702389572773
random+tts_tabular_t3_a1,1,50,1,89.00939985538685
random+tts_tabular_t3_a1,1,51,0,8.254887762490949
random+tts_tabular_t3_a1,1,51,1,89.15401301518438
random+tts_tabular_t3_a1,1,52,0,9.485879797248371
random+tts_tabular_t3_a1,1,52,1,88.93709327548807
random+tts_tabular_t3_a1,1,53,0,8.110065170166546
random+tts_tabular_t3_a1,1,53,1,89.00939985538685
random+tts_tabular_t3_a1,1,54,0,9.41346850108617
random+tts_tabular_t3_a1,1,54,1,89.29862617498192
random+tts_tabular_t3_a1,1,55,0,8.90658942795076
random+tts_tabular_t3_a1,1,55,1,89.587852494577
random+tts_tabular_t3_a1,1,56,0,8.32729905865315
random+tts_tabular_t3_a1,1,56,1,89.29862617498192
random+tts_tabular_t3_a1,1,57,0,8.689355539464156
random+tts_tabular_t3_a1,1,57,1,89.80477223427332
random+tts_tabular_t3_a1,1,58,0,8.472121650977552
random+tts_tabular_t3_a1,1,58,1,89.80477223427332
random+tts_tabular_t3_a1,1,59,0,7.675597393193338
random+tts_tabular_t3_a1,1,59,1,89.66015907447577
random+tts_tabular_t3_a1,1,60,0,8.544532947139754
random+tts_tabular_t3_a1,1,60,1,89.94938539407086
random+tts_tabular_t3_a1,1,61,0,8.254887762490949
random+tts_tabular_t3_a1,1,61,1,89.94938539407086
random+tts_tabular_t3_a1,1,62,0,9.341057204923969
random+tts_tabular_t3_a1,1,62,1,90.23861171366595
random+tts_tabular_t3_a1,1,63,0,7.8204199855177405
random+tts_tabular_t3_a1,1,63,1,90.23861171366595
random+tts_tabular_t3_a1,1,64,0,8.616944243301955
random+tts_tabular_t3_a1,1,64,1,90.38322487346349
random+tts_tabular_t3_a1,1,65,0,8.399710354815351
random+tts_tabular_t3_a1,1,65,1,90.31091829356471
random+tts_tabular_t3_a1,1,66,0,9.051412020275164
random+tts_tabular_t3_a1,1,66,1,90.31091829356471
random+tts_tabular_t3_a1,1,67,0,8.90658942795076
random+tts_tabular_t3_a1,1,67,1,90.45553145336225
random+tts_tabular_t3_a1,1,68,0,9.196234612599566
random+tts_tabular_t3_a1,1,68,1,90.52783803326102
random+tts_tabular_t3_a1,1,69,0,8.90658942795076
random+tts_tabular_t3_a1,1,69,1,90.38322487346349
random+tts_tabular_t3_a1,1,70,0,8.616944243301955
random+tts_tabular_t3_a1,1,70,1,90.6001446131598
random+tts_tabular_t3_a1,1,71,0,7.748008689355539
