Method,Train_Task,Round,Eval_Task,Accuracy
svd_kmeans+tts_tabular_t7_a0.5,0,1,0,47.49596122778675
svd_kmeans+tts_tabular_t7_a0.5,0,2,0,62.035541195476576
svd_kmeans+tts_tabular_t7_a0.5,0,3,0,72.37479806138934
svd_kmeans+tts_tabular_t7_a0.5,0,4,0,80.61389337641357
svd_kmeans+tts_tabular_t7_a0.5,0,5,0,86.26817447495961
svd_kmeans+tts_tabular_t7_a0.5,0,6,0,87.23747980613894
svd_kmeans+tts_tabular_t7_a0.5,0,7,0,89.82229402261713
svd_kmeans+tts_tabular_t7_a0.5,0,8,0,90.63004846526655
svd_kmeans+tts_tabular_t7_a0.5,0,9,0,90.95315024232633
svd_kmeans+tts_tabular_t7_a0.5,0,10,0,91.2762520193861
svd_kmeans+tts_tabular_t7_a0.5,0,11,0,91.59935379644588
svd_kmeans+tts_tabular_t7_a0.5,0,12,0,91.76090468497577
svd_kmeans+tts_tabular_t7_a0.5,0,13,0,92.08400646203555
svd_kmeans+tts_tabular_t7_a0.5,0,14,0,92.40710823909531
svd_kmeans+tts_tabular_t7_a0.5,0,15,0,92.40710823909531
svd_kmeans+tts_tabular_t7_a0.5,0,16,0,92.89176090468497
svd_kmeans+tts_tabular_t7_a0.5,0,17,0,92.89176090468497
svd_kmeans+tts_tabular_t7_a0.5,0,18,0,93.05331179321486
svd_kmeans+tts_tabular_t7_a0.5,0,19,0,93.05331179321486
svd_kmeans+tts_tabular_t7_a0.5,0,20,0,93.05331179321486
svd_kmeans+tts_tabular_t7_a0.5,0,21,0,93.21486268174475
svd_kmeans+tts_tabular_t7_a0.5,0,22,0,93.69951534733441
svd_kmeans+tts_tabular_t7_a0.5,0,23,0,93.69951534733441
svd_kmeans+tts_tabular_t7_a0.5,0,24,0,93.8610662358643
svd_kmeans+tts_tabular_t7_a0.5,0,25,0,93.8610662358643
svd_kmeans+tts_tabular_t7_a0.5,0,26,0,93.8610662358643
svd_kmeans+tts_tabular_t7_a0.5,0,27,0,94.18416801292408
svd_kmeans+tts_tabular_t7_a0.5,0,28,0,94.02261712439419
svd_kmeans+tts_tabular_t7_a0.5,0,29,0,94.66882067851373
svd_kmeans+tts_tabular_t7_a0.5,0,30,0,94.66882067851373
svd_kmeans+tts_tabular_t7_a0.5,0,31,0,94.83037156704361
svd_kmeans+tts_tabular_t7_a0.5,0,32,0,94.83037156704361
svd_kmeans+tts_tabular_t7_a0.5,0,33,0,94.83037156704361
