Method,Train_Task,Round,Eval_Task,Accuracy
none,0,1,0,5.9
none,0,2,0,9.3
none,0,3,0,7.5
none,0,4,0,14.3
none,0,5,0,11.2
none,0,6,0,13.1
none,0,7,0,15.4
none,0,8,0,17.7
none,0,9,0,16.7
none,0,10,0,22.0
none,0,11,0,22.0
none,0,12,0,26.2
none,0,13,0,25.5
none,0,14,0,31.5
none,0,15,0,30.3
none,0,16,0,34.0
none,0,17,0,33.8
none,0,18,0,35.8
none,0,19,0,35.2
none,0,20,0,36.6
none,1,1,0,0.0
none,1,1,1,8.0
none,1,2,0,0.0
none,1,2,1,21.8
none,1,3,0,0.0
none,1,3,1,14.2
none,1,4,0,0.0
none,1,4,1,23.9
none,1,5,0,0.0
none,1,5,1,14.9
none,1,6,0,0.0
none,1,6,1,22.9
none,1,7,0,0.0
none,1,7,1,17.0
none,1,8,0,0.0
none,1,8,1,25.3
none,1,9,0,0.0
none,1,9,1,21.3
none,1,10,0,0.0
none,1,10,1,30.3
none,1,11,0,0.0
none,1,11,1,28.7
none,1,12,0,0.0
none,1,12,1,32.6
none,1,13,0,0.0
none,1,13,1,32.6
none,1,14,0,0.0
none,1,14,1,34.4
none,1,15,0,0.0
none,1,15,1,35.0
none,1,16,0,0.0
none,1,16,1,35.0
none,1,17,0,0.0
none,1,17,1,35.8
none,1,18,0,0.0
none,1,18,1,37.5
none,1,19,0,0.0
none,1,19,1,37.7
none,1,20,0,0.0
none,1,20,1,37.6
none,2,1,0,0.0
none,2,1,1,0.0
none,2,1,2,11.8
none,2,2,0,0.0
none,2,2,1,0.0
none,2,2,2,20.8
none,2,3,0,0.0
none,2,3,1,0.0
none,2,3,2,24.1
none,2,4,0,0.0
none,2,4,1,0.0
none,2,4,2,27.3
none,2,5,0,0.0
none,2,5,1,0.0
none,2,5,2,26.1
none,2,6,0,0.0
none,2,6,1,0.0
none,2,6,2,28.7
none,2,7,0,0.0
none,2,7,1,0.0
none,2,7,2,28.3
none,2,8,0,0.0
none,2,8,1,0.0
none,2,8,2,35.6
none,2,9,0,0.0
none,2,9,1,0.0
none,2,9,2,34.7
none,2,10,0,0.0
none,2,10,1,0.0
none,2,10,2,37.9
none,2,11,0,0.0
none,2,11,1,0.0
none,2,11,2,40.7
none,2,12,0,0.0
none,2,12,1,0.0
none,2,12,2,43.4
none,2,13,0,0.0
none,2,13,1,0.0
none,2,13,2,42.2
none,2,14,0,0.0
none,2,14,1,0.0
none,2,14,2,44.2
none,2,15,0,0.0
none,2,15,1,0.0
none,2,15,2,45.8
none,2,16,0,0.0
none,2,16,1,0.0
none,2,16,2,47.3
none,2,17,0,0.0
none,2,17,1,0.0
none,2,17,2,46.1
none,2,18,0,0.0
none,2,18,1,0.0
none,2,18,2,47.9
none,2,19,0,0.0
none,2,19,1,0.0
none,2,19,2,48.7
none,2,20,0,0.0
none,2,20,1,0.0
none,2,20,2,49.6
none,3,1,0,0.0
none,3,1,1,0.0
none,3,1,2,0.0
none,3,1,3,10.6
none,3,2,0,0.0
none,3,2,1,0.0
none,3,2,2,0.0
none,3,2,3,25.3
none,3,3,0,0.0
none,3,3,1,0.0
none,3,3,2,0.0
none,3,3,3,21.4
none,3,4,0,0.0
none,3,4,1,0.0
none,3,4,2,0.0
none,3,4,3,28.6
none,3,5,0,0.0
none,3,5,1,0.0
none,3,5,2,0.0
none,3,5,3,25.2
none,3,6,0,0.0
none,3,6,1,0.0
none,3,6,2,0.0
none,3,6,3,32.3
none,3,7,0,0.0
none,3,7,1,0.0
none,3,7,2,0.0
none,3,7,3,30.4
none,3,8,0,0.0
none,3,8,1,0.0
none,3,8,2,0.0
none,3,8,3,31.8
none,3,9,0,0.0
none,3,9,1,0.0
none,3,9,2,0.0
none,3,9,3,35.6
none,3,10,0,0.0
none,3,10,1,0.0
none,3,10,2,0.0
none,3,10,3,34.7
none,3,11,0,0.0
none,3,11,1,0.0
none,3,11,2,0.0
none,3,11,3,37.0
none,3,12,0,0.0
none,3,12,1,0.0
none,3,12,2,0.0
none,3,12,3,39.9
none,3,13,0,0.0
none,3,13,1,0.0
none,3,13,2,0.0
none,3,13,3,40.4
none,3,14,0,0.0
none,3,14,1,0.0
none,3,14,2,0.0
none,3,14,3,42.3
none,3,15,0,0.0
none,3,15,1,0.0
none,3,15,2,0.0
none,3,15,3,42.8
none,3,16,0,0.0
none,3,16,1,0.0
none,3,16,2,0.0
none,3,16,3,43.5
none,3,17,0,0.0
none,3,17,1,0.0
none,3,17,2,0.0
none,3,17,3,44.1
none,3,18,0,0.0
none,3,18,1,0.0
none,3,18,2,0.0
none,3,18,3,43.9
none,3,19,0,0.0
none,3,19,1,0.0
none,3,19,2,0.0
none,3,19,3,44.6
none,3,20,0,0.0
none,3,20,1,0.0
none,3,20,2,0.0
none,3,20,3,45.2
none,4,1,0,0.0
none,4,1,1,0.0
none,4,1,2,0.0
none,4,1,3,0.0
none,4,1,4,10.8
none,4,2,0,0.0
none,4,2,1,0.0
none,4,2,2,0.0
none,4,2,3,0.0
none,4,2,4,24.6
none,4,3,0,0.0
none,4,3,1,0.0
none,4,3,2,0.0
none,4,3,3,0.0
none,4,3,4,21.7
none,4,4,0,0.0
none,4,4,1,0.0
none,4,4,2,0.0
none,4,4,3,0.0
none,4,4,4,33.9
none,4,5,0,0.0
none,4,5,1,0.0
none,4,5,2,0.0
none,4,5,3,0.0
none,4,5,4,28.8
none,4,6,0,0.0
none,4,6,1,0.0
none,4,6,2,0.0
none,4,6,3,0.0
none,4,6,4,33.2
none,4,7,0,0.0
none,4,7,1,0.0
none,4,7,2,0.0
none,4,7,3,0.0
none,4,7,4,33.8
none,4,8,0,0.0
none,4,8,1,0.0
none,4,8,2,0.0
none,4,8,3,0.0
none,4,8,4,41.1
none,4,9,0,0.0
none,4,9,1,0.0
none,4,9,2,0.0
none,4,9,3,0.0
none,4,9,4,37.0
none,4,10,0,0.0
none,4,10,1,0.0
none,4,10,2,0.0
none,4,10,3,0.0
none,4,10,4,42.8
none,4,11,0,0.0
none,4,11,1,0.0
none,4,11,2,0.0
none,4,11,3,0.0
none,4,11,4,43.2
none,4,12,0,0.0
none,4,12,1,0.0
none,4,12,2,0.0
none,4,12,3,0.0
none,4,12,4,44.7
none,4,13,0,0.0
none,4,13,1,0.0
none,4,13,2,0.0
none,4,13,3,0.0
none,4,13,4,44.6
none,4,14,0,0.0
none,4,14,1,0.0
none,4,14,2,0.0
none,4,14,3,0.0
none,4,14,4,46.0
none,4,15,0,0.0
none,4,15,1,0.0
none,4,15,2,0.0
none,4,15,3,0.0
none,4,15,4,46.1
none,4,16,0,0.0
none,4,16,1,0.0
none,4,16,2,0.0
none,4,16,3,0.0
none,4,16,4,46.4
none,4,17,0,0.0
none,4,17,1,0.0
none,4,17,2,0.0
none,4,17,3,0.0
none,4,17,4,47.7
none,4,18,0,0.0
none,4,18,1,0.0
none,4,18,2,0.0
none,4,18,3,0.0
none,4,18,4,47.5
none,4,19,0,0.0
none,4,19,1,0.0
none,4,19,2,0.0
none,4,19,3,0.0
none,4,19,4,48.2
none,4,20,0,0.0
none,4,20,1,0.0
none,4,20,2,0.0
none,4,20,3,0.0
none,4,20,4,48.5
none,5,1,0,0.0
none,5,1,1,0.0
none,5,1,2,0.0
none,5,1,3,0.0
none,5,1,4,0.0
none,5,1,5,6.8
none,5,2,0,0.0
none,5,2,1,0.0
none,5,2,2,0.0
none,5,2,3,0.0
none,5,2,4,0.0
none,5,2,5,30.3
none,5,3,0,0.0
none,5,3,1,0.0
none,5,3,2,0.0
none,5,3,3,0.0
none,5,3,4,0.0
none,5,3,5,32.7
none,5,4,0,0.0
none,5,4,1,0.0
none,5,4,2,0.0
none,5,4,3,0.0
none,5,4,4,0.0
none,5,4,5,37.5
none,5,5,0,0.0
none,5,5,1,0.0
none,5,5,2,0.0
none,5,5,3,0.0
none,5,5,4,0.0
none,5,5,5,41.7
none,5,6,0,0.0
none,5,6,1,0.0
none,5,6,2,0.0
none,5,6,3,0.0
none,5,6,4,0.0
none,5,6,5,40.5
none,5,7,0,0.0
none,5,7,1,0.0
none,5,7,2,0.0
none,5,7,3,0.0
none,5,7,4,0.0
none,5,7,5,43.5
none,5,8,0,0.0
none,5,8,1,0.0
none,5,8,2,0.0
none,5,8,3,0.0
none,5,8,4,0.0
none,5,8,5,44.8
none,5,9,0,0.0
none,5,9,1,0.0
none,5,9,2,0.0
none,5,9,3,0.0
none,5,9,4,0.0
none,5,9,5,44.7
none,5,10,0,0.0
none,5,10,1,0.0
none,5,10,2,0.0
none,5,10,3,0.0
none,5,10,4,0.0
none,5,10,5,49.4
none,5,11,0,0.0
none,5,11,1,0.0
none,5,11,2,0.0
none,5,11,3,0.0
none,5,11,4,0.0
none,5,11,5,46.5
none,5,12,0,0.0
none,5,12,1,0.0
none,5,12,2,0.0
none,5,12,3,0.0
none,5,12,4,0.0
none,5,12,5,50.1
none,5,13,0,0.0
none,5,13,1,0.0
none,5,13,2,0.0
