Method,Train_Task,Round,Eval_Task,Accuracy
gdr,0,1,0,6.3
gdr,0,2,0,11.6
gdr,0,3,0,15.5
gdr,0,4,0,19.1
gdr,0,5,0,22.2
gdr,0,6,0,24.2
gdr,0,7,0,28.6
gdr,0,8,0,30.9
gdr,0,9,0,33.1
gdr,0,10,0,32.7
gdr,0,11,0,37.2
gdr,0,12,0,36.9
gdr,0,13,0,38.5
gdr,0,14,0,40.2
gdr,0,15,0,40.2
gdr,0,16,0,41.5
gdr,0,17,0,41.1
gdr,0,18,0,41.6
gdr,0,19,0,42.0
gdr,0,20,0,42.4
gdr,1,1,0,0.0
gdr,1,1,1,19.6
gdr,1,2,0,3.8
gdr,1,2,1,23.4
gdr,1,3,0,4.5
gdr,1,3,1,23.0
gdr,1,4,0,4.2
gdr,1,4,1,30.5
gdr,1,5,0,4.8
gdr,1,5,1,29.6
gdr,1,6,0,4.2
gdr,1,6,1,32.5
gdr,1,7,0,5.3
gdr,1,7,1,35.0
gdr,1,8,0,6.0
gdr,1,8,1,32.7
gdr,1,9,0,5.9
gdr,1,9,1,36.3
gdr,1,10,0,5.0
gdr,1,10,1,37.6
gdr,1,11,0,4.9
gdr,1,11,1,37.3
gdr,1,12,0,5.3
gdr,1,12,1,40.0
gdr,1,13,0,5.4
gdr,1,13,1,40.6
gdr,1,14,0,5.5
gdr,1,14,1,41.6
gdr,1,15,0,4.7
gdr,1,15,1,43.1
gdr,1,16,0,5.2
gdr,1,16,1,40.9
gdr,1,17,0,5.0
gdr,1,17,1,43.8
gdr,1,18,0,5.6
gdr,1,18,1,44.4
gdr,1,19,0,4.6
gdr,1,19,1,44.5
gdr,1,20,0,5.1
gdr,1,20,1,44.8
gdr,2,1,0,5.6
gdr,2,1,1,0.0
gdr,2,1,2,21.9
gdr,2,2,0,6.7
gdr,2,2,1,3.2
gdr,2,2,2,28.1
gdr,2,3,0,4.8
gdr,2,3,1,3.1
gdr,2,3,2,31.8
gdr,2,4,0,6.6
gdr,2,4,1,4.5
gdr,2,4,2,34.0
gdr,2,5,0,6.8
gdr,2,5,1,4.4
gdr,2,5,2,36.6
gdr,2,6,0,4.7
gdr,2,6,1,3.9
gdr,2,6,2,38.0
gdr,2,7,0,5.3
gdr,2,7,1,4.5
gdr,2,7,2,40.0
gdr,2,8,0,6.1
gdr,2,8,1,4.1
gdr,2,8,2,40.8
gdr,2,9,0,6.1
gdr,2,9,1,5.1
gdr,2,9,2,40.7
gdr,2,10,0,6.0
gdr,2,10,1,5.4
gdr,2,10,2,41.7
gdr,2,11,0,5.8
gdr,2,11,1,5.2
gdr,2,11,2,45.2
gdr,2,12,0,6.3
gdr,2,12,1,5.1
gdr,2,12,2,44.3
gdr,2,13,0,6.2
gdr,2,13,1,4.5
gdr,2,13,2,45.0
gdr,2,14,0,6.7
gdr,2,14,1,5.4
gdr,2,14,2,45.9
gdr,2,15,0,5.4
gdr,2,15,1,4.8
gdr,2,15,2,46.5
gdr,2,16,0,5.8
gdr,2,16,1,4.7
gdr,2,16,2,48.4
gdr,2,17,0,5.6
gdr,2,17,1,4.8
gdr,2,17,2,48.4
gdr,2,18,0,5.4
gdr,2,18,1,4.6
gdr,2,18,2,49.1
gdr,2,19,0,4.7
gdr,2,19,1,5.0
gdr,2,19,2,49.5
gdr,2,20,0,4.4
gdr,2,20,1,4.4
gdr,2,20,2,49.8
gdr,3,1,0,8.3
gdr,3,1,1,5.5
gdr,3,1,2,1.4
gdr,3,1,3,22.0
gdr,3,2,0,10.7
gdr,3,2,1,11.9
gdr,3,2,2,6.3
gdr,3,2,3,28.3
gdr,3,3,0,12.1
gdr,3,3,1,11.2
gdr,3,3,2,9.2
gdr,3,3,3,34.8
gdr,3,4,0,8.7
gdr,3,4,1,9.9
gdr,3,4,2,9.8
gdr,3,4,3,35.0
gdr,3,5,0,9.1
gdr,3,5,1,11.1
gdr,3,5,2,11.0
gdr,3,5,3,36.4
gdr,3,6,0,9.0
gdr,3,6,1,10.9
gdr,3,6,2,10.9
gdr,3,6,3,37.0
gdr,3,7,0,11.5
gdr,3,7,1,11.7
gdr,3,7,2,11.7
gdr,3,7,3,39.7
gdr,3,8,0,10.3
gdr,3,8,1,10.4
gdr,3,8,2,12.4
gdr,3,8,3,39.4
gdr,3,9,0,11.6
gdr,3,9,1,10.5
gdr,3,9,2,13.0
gdr,3,9,3,42.0
gdr,3,10,0,10.9
gdr,3,10,1,12.3
gdr,3,10,2,12.5
gdr,3,10,3,42.4
gdr,3,11,0,13.3
gdr,3,11,1,11.2
gdr,3,11,2,12.6
gdr,3,11,3,43.2
gdr,3,12,0,12.0
gdr,3,12,1,11.1
gdr,3,12,2,13.2
gdr,3,12,3,42.8
gdr,3,13,0,12.5
gdr,3,13,1,11.0
gdr,3,13,2,13.9
gdr,3,13,3,45.1
gdr,3,14,0,13.6
gdr,3,14,1,11.7
gdr,3,14,2,12.9
gdr,3,14,3,45.7
gdr,3,15,0,14.1
gdr,3,15,1,12.0
gdr,3,15,2,13.8
gdr,3,15,3,45.2
gdr,3,16,0,15.1
gdr,3,16,1,12.2
gdr,3,16,2,13.7
gdr,3,16,3,46.9
gdr,3,17,0,13.4
gdr,3,17,1,11.7
gdr,3,17,2,13.6
gdr,3,17,3,47.9
gdr,3,18,0,13.6
gdr,3,18,1,11.0
gdr,3,18,2,13.2
gdr,3,18,3,48.6
gdr,3,19,0,13.5
gdr,3,19,1,11.4
gdr,3,19,2,13.0
gdr,3,19,3,48.0
gdr,3,20,0,13.6
gdr,3,20,1,11.1
gdr,3,20,2,12.9
gdr,3,20,3,49.1
gdr,4,1,0,14.3
gdr,4,1,1,13.0
gdr,4,1,2,12.1
gdr,4,1,3,0.0
gdr,4,1,4,27.8
gdr,4,2,0,10.8
gdr,4,2,1,13.2
gdr,4,2,2,12.5
gdr,4,2,3,2.2
gdr,4,2,4,37.0
gdr,4,3,0,13.0
gdr,4,3,1,12.9
gdr,4,3,2,16.9
gdr,4,3,3,5.4
gdr,4,3,4,43.6
gdr,4,4,0,13.9
gdr,4,4,1,13.8
gdr,4,4,2,16.4
gdr,4,4,3,5.3
gdr,4,4,4,44.4
gdr,4,5,0,9.8
gdr,4,5,1,12.6
gdr,4,5,2,15.5
gdr,4,5,3,5.2
gdr,4,5,4,44.2
gdr,4,6,0,10.9
gdr,4,6,1,14.2
gdr,4,6,2,13.7
gdr,4,6,3,7.1
gdr,4,6,4,45.7
gdr,4,7,0,13.9
gdr,4,7,1,13.5
gdr,4,7,2,14.4
gdr,4,7,3,6.3
gdr,4,7,4,45.8
gdr,4,8,0,11.7
gdr,4,8,1,13.6
gdr,4,8,2,15.3
gdr,4,8,3,7.4
gdr,4,8,4,47.7
gdr,4,9,0,12.6
gdr,4,9,1,13.7
gdr,4,9,2,16.0
gdr,4,9,3,7.0
gdr,4,9,4,50.0
gdr,4,10,0,11.3
gdr,4,10,1,13.5
gdr,4,10,2,16.8
gdr,4,10,3,7.4
gdr,4,10,4,49.4
gdr,4,11,0,15.0
gdr,4,11,1,13.8
gdr,4,11,2,16.8
gdr,4,11,3,6.9
gdr,4,11,4,48.4
gdr,4,12,0,15.9
gdr,4,12,1,13.6
gdr,4,12,2,17.1
gdr,4,12,3,5.7
gdr,4,12,4,49.2
gdr,4,13,0,15.0
gdr,4,13,1,13.7
gdr,4,13,2,17.2
gdr,4,13,3,6.6
gdr,4,13,4,51.0
gdr,4,14,0,13.6
gdr,4,14,1,14.1
gdr,4,14,2,17.1
gdr,4,14,3,6.4
gdr,4,14,4,52.2
gdr,4,15,0,14.6
gdr,4,15,1,13.4
gdr,4,15,2,17.0
gdr,4,15,3,5.8
gdr,4,15,4,52.2
gdr,4,16,0,14.0
gdr,4,16,1,13.4
gdr,4,16,2,18.0
gdr,4,16,3,6.7
gdr,4,16,4,52.0
gdr,4,17,0,14.5
gdr,4,17,1,12.9
gdr,4,17,2,17.4
gdr,4,17,3,5.5
gdr,4,17,4,52.4
gdr,4,18,0,13.8
gdr,4,18,1,12.6
gdr,4,18,2,17.2
gdr,4,18,3,6.1
gdr,4,18,4,52.5
gdr,4,19,0,13.1
gdr,4,19,1,13.0
gdr,4,19,2,16.8
gdr,4,19,3,5.5
gdr,4,19,4,53.8
gdr,4,20,0,12.3
gdr,4,20,1,12.2
gdr,4,20,2,15.9
gdr,4,20,3,5.2
gdr,4,20,4,53.1
gdr,5,1,0,15.6
gdr,5,1,1,15.7
gdr,5,1,2,19.8
gdr,5,1,3,7.0
gdr,5,1,4,1.1
gdr,5,1,5,29.7
gdr,5,2,0,17.3
gdr,5,2,1,14.6
gdr,5,2,2,20.5
gdr,5,2,3,8.3
gdr,5,2,4,4.0
gdr,5,2,5,40.4
gdr,5,3,0,13.1
gdr,5,3,1,12.4
gdr,5,3,2,17.0
gdr,5,3,3,7.9
gdr,5,3,4,5.0
gdr,5,3,5,40.3
gdr,5,4,0,19.0
gdr,5,4,1,13.9
gdr,5,4,2,19.0
gdr,5,4,3,7.4
gdr,5,4,4,7.3
gdr,5,4,5,46.5
gdr,5,5,0,11.8
gdr,5,5,1,11.4
gdr,5,5,2,16.9
gdr,5,5,3,8.2
gdr,5,5,4,7.7
gdr,5,5,5,46.8
gdr,5,6,0,19.2
gdr,5,6,1,14.1
gdr,5,6,2,18.7
gdr,5,6,3,7.1
gdr,5,6,4,6.9
gdr,5,6,5,47.3
gdr,5,7,0,18.4
gdr,5,7,1,14.8
gdr,5,7,2,19.8
gdr,5,7,3,8.1
gdr,5,7,4,7.8
gdr,5,7,5,50.0
gdr,5,8,0,17.4
gdr,5,8,1,14.7
gdr,5,8,2,19.4
gdr,5,8,3,7.1
gdr,5,8,4,8.5
gdr,5,8,5,49.3
gdr,5,9,0,17.7
gdr,5,9,1,14.7
gdr,5,9,2,20.6
gdr,5,9,3,8.0
gdr,5,9,4,9.4
gdr,5,9,5,49.9
gdr,5,10,0,16.8
gdr,5,10,1,15.1
gdr,5,10,2,20.9
gdr,5,10,3,8.3
gdr,5,10,4,9.8
gdr,5,10,5,51.1
gdr,5,11,0,19.5
gdr,5,11,1,16.3
gdr,5,11,2,21.1
gdr,5,11,3,8.5
gdr,5,11,4,8.7
gdr,5,11,5,52.0
gdr,5,12,0,18.3
gdr,5,12,1,15.5
gdr,5,12,2,19.4
gdr,5,12,3,7.2
gdr,5,12,4,8.3
gdr,5,12,5,52.8
gdr,5,13,0,18.5
gdr,5,13,1,16.2
gdr,5,13,2,20.3
gdr,5,13,3,9.1
gdr,5,13,4,10.2
gdr,5,13,5,53.6
gdr,5,14,0,17.9
gdr,5,14,1,15.3
gdr,5,14,2,19.7
gdr,5,14,3,7.5
gdr,5,14,4,8.7
gdr,5,14,5,53.9
gdr,5,15,0,17.8
gdr,5,15,1,15.2
gdr,5,15,2,20.6
gdr,5,15,3,7.9
gdr,5,15,4,8.7
gdr,5,15,5,55.0
gdr,5,16,0,17.7
gdr,5,16,1,15.3
gdr,5,16,2,20.4
gdr,5,16,3,7.5
gdr,5,16,4,9.0
gdr,5,16,5,54.7
gdr,5,17,0,17.8
gdr,5,17,1,14.9
gdr,5,17,2,19.7
gdr,5,17,3,6.9
gdr,5,17,4,8.3
gdr,5,17,5,56.4
gdr,5,18,0,18.0
gdr,5,18,1,14.9
gdr,5,18,2,19.4
gdr,5,18,3,6.8
gdr,5,18,4,8.5
gdr,5,18,5,56.3
gdr,5,19,0,17.5
gdr,5,19,1,15.1
gdr,5,19,2,19.0
gdr,5,19,3,6.6
gdr,5,19,4,8.3
gdr,5,19,5,57.1
gdr,5,20,0,17.7
gdr,5,20,1,15.0
gdr,5,20,2,19.6
gdr,5,20,3,6.5
gdr,5,20,4,7.7
gdr,5,20,5,56.5
gdr,6,1,0,22.5
gdr,6,1,1,15.5
gdr,6,1,2,23.5
gdr,6,1,3,9.2
gdr,6,1,4,13.2
gdr,6,1,5,3.2
gdr,6,1,6,22.3
gdr,6,2,0,21.9
gdr,6,2,1,14.8
gdr,6,2,2,21.5
gdr,6,2,3,7.6
gdr,6,2,4,12.5
gdr,6,2,5,9.8
gdr,6,2,6,30.0
gdr,6,3,0,19.2
gdr,6,3,1,13.8
gdr,6,3,2,19.6
gdr,6,3,3,8.8
gdr,6,3,4,11.3
gdr,6,3,5,11.1
gdr,6,3,6,35.9
gdr,6,4,0,18.8
gdr,6,4,1,14.6
gdr,6,4,2,20.4
gdr,6,4,3,7.9
gdr,6,4,4,10.6
gdr,6,4,5,12.2
gdr,6,4,6,35.3
gdr,6,5,0,19.5
gdr,6,5,1,16.7
gdr,6,5,2,22.4
gdr,6,5,3,8.0
gdr,6,5,4,11.1
gdr,6,5,5,13.7
gdr,6,5,6,35.8
gdr,6,6,0,20.5
gdr,6,6,1,15.4
gdr,6,6,2,23.4
gdr,6,6,3,6.5
gdr,6,6,4,11.0
gdr,6,6,5,13.5
gdr,6,6,6,38.4
gdr,6,7,0,21.1
gdr,6,7,1,15.8
gdr,6,7,2,22.7
gdr,6,7,3,8.0
gdr,6,7,4,11.2
gdr,6,7,5,13.2
gdr,6,7,6,39.1
gdr,6,8,0,19.6
gdr,6,8,1,15.3
gdr,6,8,2,22.3
gdr,6,8,3,8.2
gdr,6,8,4,12.4
gdr,6,8,5,14.7
gdr,6,8,6,40.4
gdr,6,9,0,20.9
gdr,6,9,1,14.7
gdr,6,9,2,22.9
gdr,6,9,3,7.5
gdr,6,9,4,11.4
gdr,6,9,5,14.1
gdr,6,9,6,41.2
gdr,6,10,0,19.0
gdr,6,10,1,15.9
gdr,6,10,2,22.7
gdr,6,10,3,8.0
gdr,6,10,4,11.7
gdr,6,10,5,13.0
gdr,6,10,6,40.9
gdr,6,11,0,20.8
gdr,6,11,1,15.5
gdr,6,11,2,24.3
gdr,6,11,3,7.5
gdr,6,11,4,11.9
gdr,6,11,5,13.9
gdr,6,11,6,41.5
gdr,6,12,0,21.0
gdr,6,12,1,16.3
gdr,6,12,2,22.7
gdr,6,12,3,7.8
gdr,6,12,4,11.7
gdr,6,12,5,14.0
gdr,6,12,6,43.5
gdr,6,13,0,20.7
gdr,6,13,1,16.5
gdr,6,13,2,23.3
gdr,6,13,3,7.7
gdr,6,13,4,11.7
gdr,6,13,5,14.9
gdr,6,13,6,44.0
gdr,6,14,0,18.2
gdr,6,14,1,15.0
gdr,6,14,2,22.9
gdr,6,14,3,6.7
gdr,6,14,4,10.7
gdr,6,14,5,14.6
gdr,6,14,6,46.2
gdr,6,15,0,18.6
gdr,6,15,1,15.9
gdr,6,15,2,22.6
gdr,6,15,3,7.1
gdr,6,15,4,11.8
gdr,6,15,5,13.4
gdr,6,15,6,45.8
gdr,6,16,0,19.1
gdr,6,16,1,15.2
gdr,6,16,2,22.0
gdr,6,16,3,6.6
gdr,6,16,4,11.2
gdr,6,16,5,12.6
gdr,6,16,6,45.5
gdr,6,17,0,19.1
gdr,6,17,1,15.3
gdr,6,17,2,22.0
gdr,6,17,3,6.9
gdr,6,17,4,10.9
gdr,6,17,5,13.4
gdr,6,17,6,47.1
gdr,6,18,0,18.1
gdr,6,18,1,15.5
gdr,6,18,2,21.5
gdr,6,18,3,7.0
gdr,6,18,4,10.3
gdr,6,18,5,12.2
gdr,6,18,6,47.2
gdr,6,19,0,18.7
gdr,6,19,1,14.3
gdr,6,19,2,21.7
gdr,6,19,3,6.5
gdr,6,19,4,9.3
gdr,6,19,5,12.6
gdr,6,19,6,47.3
gdr,6,20,0,17.6
gdr,6,20,1,14.7
gdr,6,20,2,21.2
gdr,6,20,3,6.4
gdr,6,20,4,9.3
gdr,6,20,5,12.6
gdr,6,20,6,47.3
gdr,7,1,0,19.3
gdr,7,1,1,16.8
gdr,7,1,2,22.1
gdr,7,1,3,15.2
gdr,7,1,4,15.2
gdr,7,1,5,21.4
gdr,7,1,6,3.6
gdr,7,1,7,26.9
gdr,7,2,0,18.2
gdr,7,2,1,13.8
gdr,7,2,2,19.9
gdr,7,2,3,11.3
gdr,7,2,4,11.2
gdr,7,2,5,15.8
gdr,7,2,6,7.1
gdr,7,2,7,37.3
gdr,7,3,0,19.2
gdr,7,3,1,14.3
gdr,7,3,2,20.1
gdr,7,3,3,9.9
gdr,7,3,4,11.2
gdr,7,3,5,15.5
gdr,7,3,6,7.0
gdr,7,3,7,39.5
gdr,7,4,0,17.3
gdr,7,4,1,15.5
gdr,7,4,2,21.5
gdr,7,4,3,11.7
gdr,7,4,4,9.6
gdr,7,4,5,15.7
gdr,7,4,6,8.6
gdr,7,4,7,41.6
gdr,7,5,0,18.9
gdr,7,5,1,14.4
gdr,7,5,2,18.3
gdr,7,5,3,8.1
gdr,7,5,4,8.2
gdr,7,5,5,12.7
gdr,7,5,6,7.8
gdr,7,5,7,45.7
gdr,7,6,0,19.1
gdr,7,6,1,16.2
gdr,7,6,2,21.8
gdr,7,6,3,9.9
gdr,7,6,4,10.9
gdr,7,6,5,15.7
gdr,7,6,6,8.9
gdr,7,6,7,44.7
gdr,7,7,0,18.0
gdr,7,7,1,13.9
gdr,7,7,2,20.4
gdr,7,7,3,10.8
gdr,7,7,4,10.1
gdr,7,7,5,15.1
gdr,7,7,6,9.4
gdr,7,7,7,45.2
gdr,7,8,0,17.7
gdr,7,8,1,14.2
gdr,7,8,2,19.8
gdr,7,8,3,9.9
gdr,7,8,4,9.3
gdr,7,8,5,13.4
gdr,7,8,6,9.9
gdr,7,8,7,47.0
gdr,7,9,0,17.6
gdr,7,9,1,14.8
gdr,7,9,2,19.7
gdr,7,9,3,8.9
gdr,7,9,4,10.5
gdr,7,9,5,15.4
gdr,7,9,6,9.3
gdr,7,9,7,48.4
gdr,7,10,0,17.9
gdr,7,10,1,15.7
gdr,7,10,2,20.9
gdr,7,10,3,8.5
gdr,7,10,4,9.9
gdr,7,10,5,15.9
gdr,7,10,6,9.5
gdr,7,10,7,49.1
gdr,7,11,0,19.8
gdr,7,11,1,14.2
gdr,7,11,2,21.1
gdr,7,11,3,8.3
gdr,7,11,4,10.2
gdr,7,11,5,17.0
gdr,7,11,6,8.6
gdr,7,11,7,49.0
gdr,7,12,0,20.5
gdr,7,12,1,15.3
gdr,7,12,2,19.7
gdr,7,12,3,9.3
gdr,7,12,4,9.3
gdr,7,12,5,15.5
gdr,7,12,6,9.1
gdr,7,12,7,49.8
gdr,7,13,0,20.2
gdr,7,13,1,15.4
gdr,7,13,2,20.8
gdr,7,13,3,8.7
gdr,7,13,4,10.7
gdr,7,13,5,16.0
gdr,7,13,6,9.8
gdr,7,13,7,50.1
gdr,7,14,0,19.6
gdr,7,14,1,15.5
gdr,7,14,2,20.0
gdr,7,14,3,7.9
gdr,7,14,4,10.5
gdr,7,14,5,15.9
gdr,7,14,6,10.3
gdr,7,14,7,51.6
gdr,7,15,0,17.8
gdr,7,15,1,15.0
gdr,7,15,2,20.4
gdr,7,15,3,9.3
gdr,7,15,4,10.0
gdr,7,15,5,15.9
gdr,7,15,6,9.4
gdr,7,15,7,50.7
gdr,7,16,0,17.9
gdr,7,16,1,15.2
gdr,7,16,2,20.2
gdr,7,16,3,8.3
gdr,7,16,4,9.5
gdr,7,16,5,16.4
gdr,7,16,6,8.8
gdr,7,16,7,53.0
gdr,7,17,0,17.3
gdr,7,17,1,14.2
gdr,7,17,2,19.9
gdr,7,17,3,7.6
gdr,7,17,4,8.8
gdr,7,17,5,15.3
gdr,7,17,6,8.9
gdr,7,17,7,53.6
gdr,7,18,0,16.6
gdr,7,18,1,14.2
gdr,7,18,2,19.6
gdr,7,18,3,7.3
gdr,7,18,4,8.1
gdr,7,18,5,14.5
gdr,7,18,6,8.9
gdr,7,18,7,53.7
gdr,7,19,0,17.0
gdr,7,19,1,14.0
gdr,7,19,2,19.0
gdr,7,19,3,6.8
gdr,7,19,4,7.9
gdr,7,19,5,14.5
gdr,7,19,6,8.3
gdr,7,19,7,54.0
gdr,7,20,0,16.3
gdr,7,20,1,14.2
gdr,7,20,2,18.7
gdr,7,20,3,6.7
gdr,7,20,4,7.6
gdr,7,20,5,13.8
gdr,7,20,6,8.4
gdr,7,20,7,54.2
gdr,8,1,0,22.5
gdr,8,1,1,16.0
gdr,8,1,2,23.8
gdr,8,1,3,15.6
gdr,8,1,4,17.9
gdr,8,1,5,21.9
gdr,8,1,6,11.9
gdr,8,1,7,4.7
gdr,8,1,8,26.7
gdr,8,2,0,18.0
gdr,8,2,1,14.4
gdr,8,2,2,21.8
gdr,8,2,3,11.3
gdr,8,2,4,13.5
gdr,8,2,5,15.9
gdr,8,2,6,10.2
gdr,8,2,7,9.9
gdr,8,2,8,40.0
gdr,8,3,0,17.6
gdr,8,3,1,15.1
gdr,8,3,2,19.6
gdr,8,3,3,10.9
gdr,8,3,4,12.2
gdr,8,3,5,15.1
gdr,8,3,6,8.4
gdr,8,3,7,12.8
gdr,8,3,8,42.3
gdr,8,4,0,20.8
gdr,8,4,1,16.8
gdr,8,4,2,22.1
gdr,8,4,3,9.0
gdr,8,4,4,11.1
gdr,8,4,5,14.0
gdr,8,4,6,8.7
gdr,8,4,7,12.0
gdr,8,4,8,45.2
gdr,8,5,0,16.7
gdr,8,5,1,16.4
gdr,8,5,2,18.3
gdr,8,5,3,9.6
gdr,8,5,4,12.2
gdr,8,5,5,14.8
gdr,8,5,6,9.0
gdr,8,5,7,14.3
gdr,8,5,8,48.3
gdr,8,6,0,18.4
gdr,8,6,1,15.1
gdr,8,6,2,20.7
gdr,8,6,3,10.1
gdr,8,6,4,13.0
gdr,8,6,5,14.3
gdr,8,6,6,9.7
gdr,8,6,7,12.9
gdr,8,6,8,48.4
gdr,8,7,0,17.6
gdr,8,7,1,14.2
gdr,8,7,2,18.7
gdr,8,7,3,9.6
gdr,8,7,4,13.0
gdr,8,7,5,14.7
gdr,8,7,6,9.2
gdr,8,7,7,12.4
gdr,8,7,8,49.4
gdr,8,8,0,18.1
gdr,8,8,1,15.1
gdr,8,8,2,19.3
gdr,8,8,3,7.8
gdr,8,8,4,11.9
gdr,8,8,5,15.9
gdr,8,8,6,8.9
gdr,8,8,7,15.0
