Method,Train_Task,Round,Eval_Task,Accuracy
gdr+tts,0,1,0,6.3
gdr+tts,0,2,0,11.6
gdr+tts,0,3,0,15.7
gdr+tts,0,4,0,19.2
gdr+tts,0,5,0,22.2
gdr+tts,0,6,0,22.1
gdr+tts,0,7,0,27.7
gdr+tts,0,8,0,30.7
gdr+tts,0,9,0,33.8
gdr+tts,0,10,0,32.3
gdr+tts,0,11,0,37.2
gdr+tts,0,12,0,37.1
gdr+tts,0,13,0,38.0
gdr+tts,0,14,0,39.3
gdr+tts,0,15,0,39.2
gdr+tts,0,16,0,40.7
gdr+tts,0,17,0,41.7
gdr+tts,0,18,0,41.6
gdr+tts,0,19,0,42.7
gdr+tts,0,20,0,41.9
gdr+tts,1,1,0,0.0
gdr+tts,1,1,1,5.0
gdr+tts,1,2,0,0.4
gdr+tts,1,2,1,7.7
gdr+tts,1,3,0,1.4
gdr+tts,1,3,1,7.6
gdr+tts,1,4,0,5.5
gdr+tts,1,4,1,1.0
gdr+tts,1,5,0,5.1
gdr+tts,1,5,1,7.0
gdr+tts,1,6,0,7.6
gdr+tts,1,6,1,7.6
gdr+tts,1,7,0,11.2
gdr+tts,1,7,1,5.2
gdr+tts,1,8,0,11.4
gdr+tts,1,8,1,8.9
gdr+tts,1,9,0,11.8
gdr+tts,1,9,1,8.3
gdr+tts,1,10,0,13.8
gdr+tts,1,10,1,7.7
gdr+tts,1,11,0,13.8
gdr+tts,1,11,1,9.9
gdr+tts,1,12,0,16.3
gdr+tts,1,12,1,7.9
gdr+tts,1,13,0,13.1
gdr+tts,1,13,1,12.8
gdr+tts,1,14,0,16.5
gdr+tts,1,14,1,14.4
gdr+tts,1,15,0,15.9
gdr+tts,1,15,1,14.5
gdr+tts,1,16,0,17.4
gdr+tts,1,16,1,14.7
gdr+tts,1,17,0,16.6
gdr+tts,1,17,1,14.8
gdr+tts,1,18,0,18.2
gdr+tts,1,18,1,15.7
gdr+tts,1,19,0,18.1
gdr+tts,1,19,1,16.9
gdr+tts,1,20,0,16.8
gdr+tts,1,20,1,16.3
gdr+tts,2,1,0,4.9
gdr+tts,2,1,1,0.5
gdr+tts,2,1,2,0.0
gdr+tts,2,2,0,7.9
gdr+tts,2,2,1,4.7
gdr+tts,2,2,2,2.7
gdr+tts,2,3,0,7.2
gdr+tts,2,3,1,9.0
gdr+tts,2,3,2,1.5
gdr+tts,2,4,0,9.3
gdr+tts,2,4,1,7.9
gdr+tts,2,4,2,2.6
gdr+tts,2,5,0,15.4
gdr+tts,2,5,1,4.1
gdr+tts,2,5,2,3.0
gdr+tts,2,6,0,13.9
gdr+tts,2,6,1,7.6
gdr+tts,2,6,2,2.4
gdr+tts,2,7,0,15.1
gdr+tts,2,7,1,9.3
gdr+tts,2,7,2,3.1
gdr+tts,2,8,0,16.4
gdr+tts,2,8,1,7.9
gdr+tts,2,8,2,5.1
gdr+tts,2,9,0,16.7
gdr+tts,2,9,1,8.5
gdr+tts,2,9,2,8.1
gdr+tts,2,10,0,16.8
gdr+tts,2,10,1,7.9
gdr+tts,2,10,2,5.2
gdr+tts,2,11,0,17.0
gdr+tts,2,11,1,9.0
gdr+tts,2,11,2,8.4
gdr+tts,2,12,0,16.1
gdr+tts,2,12,1,9.6
gdr+tts,2,12,2,8.8
gdr+tts,2,13,0,17.5
gdr+tts,2,13,1,9.8
gdr+tts,2,13,2,7.3
gdr+tts,2,14,0,16.9
gdr+tts,2,14,1,12.4
gdr+tts,2,14,2,10.2
gdr+tts,2,15,0,15.2
gdr+tts,2,15,1,9.7
gdr+tts,2,15,2,11.5
gdr+tts,2,16,0,18.5
gdr+tts,2,16,1,8.7
gdr+tts,2,16,2,10.9
gdr+tts,2,17,0,18.7
gdr+tts,2,17,1,10.3
gdr+tts,2,17,2,11.0
gdr+tts,2,18,0,16.9
gdr+tts,2,18,1,12.5
gdr+tts,2,18,2,12.0
gdr+tts,2,19,0,17.7
gdr+tts,2,19,1,9.7
gdr+tts,2,19,2,13.3
gdr+tts,2,20,0,17.3
gdr+tts,2,20,1,10.4
gdr+tts,2,20,2,13.7
gdr+tts,3,1,0,6.3
gdr+tts,3,1,1,3.9
gdr+tts,3,1,2,0.0
gdr+tts,3,1,3,4.0
gdr+tts,3,2,0,17.2
gdr+tts,3,2,1,7.2
gdr+tts,3,2,2,1.4
gdr+tts,3,2,3,1.2
gdr+tts,3,3,0,14.1
gdr+tts,3,3,1,8.5
gdr+tts,3,3,2,5.2
gdr+tts,3,3,3,2.7
gdr+tts,3,4,0,14.3
gdr+tts,3,4,1,5.6
gdr+tts,3,4,2,6.4
gdr+tts,3,4,3,4.5
gdr+tts,3,5,0,12.2
gdr+tts,3,5,1,9.2
gdr+tts,3,5,2,10.8
gdr+tts,3,5,3,4.4
gdr+tts,3,6,0,17.5
gdr+tts,3,6,1,8.9
gdr+tts,3,6,2,8.7
gdr+tts,3,6,3,4.3
gdr+tts,3,7,0,20.4
gdr+tts,3,7,1,7.2
gdr+tts,3,7,2,5.6
gdr+tts,3,7,3,6.7
gdr+tts,3,8,0,11.7
gdr+tts,3,8,1,11.6
gdr+tts,3,8,2,9.7
gdr+tts,3,8,3,4.6
gdr+tts,3,9,0,15.7
gdr+tts,3,9,1,10.5
